"NUM","ID","Physical_Address","Physical_Address_Formatted","Lat","Lon"
"49",308317,"60 Islington Street Dunedin", "60 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8530174, 170.5277568
"50",308318,"54 Islington Street Dunedin", "54 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.852842, 170.5275314
"51",308319,"50 Islington Street Dunedin", "50 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8526973, 170.5273075
"52",308320,"38 Islington Street Dunedin", "38 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8524853, 170.5269184
"53",308321,"40 Islington Street Dunedin", "40 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8526028, 170.5271068
"54",308322,"36 Islington Street Dunedin", "36 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8523514, 170.5267707
"55",308323,"34 Islington Street Dunedin", "34 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8521225, 170.5267078
"56",308324,"28 Islington Street Dunedin", "28 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8520348, 170.5264094
"57",308325,"24 Islington Street Dunedin", "24 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.851957, 170.5262565
"58",308326,"22 Islington Street Dunedin", "22 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8517844, 170.5261748
"59",308327,"18 Islington Street Dunedin", "18 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8517181, 170.5260667
"60",308328,"14 Islington Street Dunedin", "14 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.85157359999999, 170.5258423
"61",308329,"9 Frame Street Dunedin", "9 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8516916, 170.5254245
"62",308330,"8 Islington Street Dunedin", "8 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8513052, 170.5255615
"63",308331,"6 Islington Street Dunedin", "6 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8512636, 170.5254578
"64",308332,"4 Islington Street Dunedin", "4 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.85117229999999, 170.5253869
"65",308333,"2 Islington Street Dunedin", "2 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.85107900000001, 170.5252373
"66",308334,"142 North Road Dunedin", "142 North Rd, North East Valley, Dunedin 9010, New Zealand", -45.85111029999999, 170.5251072
"67",308335,"140 North Road Dunedin", "140 North Rd, North East Valley, Dunedin 9010, New Zealand", -45.8511386, 170.5249488
"68",308336,"138 North Road Dunedin", "138 North Rd, North East Valley, Dunedin 9010, New Zealand", -45.8512304, 170.5249509
"69",308337,"1 Frame Street Dunedin", "1 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8513129, 170.5248422
"70",308338,"3 Frame Street Dunedin", "3 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.851412, 170.5250087
"71",308339,"5 Frame Street Dunedin", "5 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8514773, 170.5251345
"72",308340,"7 Frame Street Dunedin", "7 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8515547, 170.5251829
"73",308341,"15 Frame Street Dunedin", "15 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8518151, 170.5255015
"74",308342,"16A Islington Street Dunedin", "16A Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8517153, 170.5259354
"75",308343,"23 Frame Street Dunedin", "23 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8520343, 170.5259001
"76",308344,"25 Frame Street Dunedin", "25 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.85214939999999, 170.5259839
"77",308345,"27 Frame Street Dunedin", "27 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.85219379999999, 170.5261036
"78",308346,"29 Frame Street Dunedin", "29 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8522883, 170.5261538
"79",308347,"33 Frame Street Dunedin", "33 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8523779, 170.5263374
"80",308348,"37 Frame Street Dunedin", "37 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.85254399999999, 170.526441
"81",308349,"41 Frame Street Dunedin", "41 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8526709, 170.5266769
"82",308350,"45 Frame Street Dunedin", "45 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8527973, 170.526822
"83",308351,"49 Frame Street Dunedin", "49 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8528837, 170.5269381
"84",308352,"51 Frame Street Dunedin", "51 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8529546, 170.5270457
"85",308353,"57 Frame Street Dunedin", "57 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8531284, 170.5272472
"86",308354,"59 Frame Street Dunedin", "59 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8532232, 170.5274787
"87",308355,"61 Frame Street Dunedin", "61 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8533546, 170.5276563
"88",308356,"73 Frame Street Dunedin", "73 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.85349, 170.5278093
"89",308357,"75 Frame Street Dunedin", "75 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8536104, 170.5279139
"90",308358,"77 Frame Street Dunedin", "77 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8537059, 170.5280473
"91",308359,"83 Frame Street Dunedin", "83 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8538131, 170.5282986
"92",308360,"31 Maybank Street Dunedin", "31 Maybank St, North East Valley, Dunedin 9010, New Zealand", -45.8531777, 170.5290483
"93",308361,"64 Mechanic Street Dunedin", "64 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.85307100000001, 170.5291552
"94",308362,"62 Mechanic Street Dunedin", "62 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8530105, 170.528969
"95",308363,"58 Mechanic Street Dunedin", "58 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.85284499999999, 170.528811
"96",308364,"54 Mechanic Street Dunedin", "54 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8527329, 170.5285266
"97",308365,"50 Mechanic Street Dunedin", "50 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8524909, 170.528349
"98",308366,"46 Mechanic Street Dunedin", , ,
"99",308367,"44 Mechanic Street Dunedin", "44 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.852311, 170.5281102
"100",308368,"42 Mechanic Street Dunedin", "42 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8522204, 170.5279746
"101",308369,"38 Mechanic Street Dunedin", "38 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8521828, 170.5277412
"102",308370,NA, , ,
"103",308372,"26 Mechanic Street Dunedin", "26 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8517756, 170.5272307
"104",308373,"24 Mechanic Street Dunedin", "24 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8516509, 170.5271132
"105",308374,"22 Mechanic Street Dunedin", "22 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8514614, 170.5270158
"106",308375,NA, "335 Portobello Rd, The Cove, Dunedin 9077, New Zealand" "362 Leith St, North Dunedin, Dunedin 9016, New Zealand", -45.88007169999999 -45.8646835, 170.5618047 170.5144227
"107",308376,"16 Mechanic Street Dunedin", "16 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8511969, 170.5266562
"108",308377,"12 Mechanic Street Dunedin", , ,
"109",308378,"10 Mechanic Street Dunedin", , ,
"110",308379,"8 Mechanic Street Dunedin", "8 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8508327, 170.5261852
"111",308380,"6 Mechanic Street Dunedin", , ,
"112",308381,"164 North Road Dunedin", "164 North Rd, North East Valley, Dunedin 9010, New Zealand", -45.850559, 170.5258786
