OBJECTID,AU2013_V1_00,AU2013_V1_00_NAME,AREA_SQ_KM,LAND_AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE
62,506613,Tauhoa-Puhoi,606.2146644,592.4538899,1735499.322,5966684.077,-36.43550541,174.5117197
63,506614,Tahekeroa,164.5344927,164.5344927,1741809.847,5948271.619,-36.60052098,174.5854826
64,506616,Matheson Bay,0.36816699,0.36816699,1761383.313,5981411.434,-36.29879306,174.7973245
65,506620,Kawau,21.55403398,21.55403398,1765624.382,5967026.29,-36.42769409,174.8475981
66,506631,Snells Beach,12.90558308,12.90558308,1753871.153,5968952.199,-36.41229594,174.7161599
67,506633,Algies Bay,3.45240118,3.45240118,1757337.853,5965664.136,-36.44136303,174.7554756
68,506634,Mahurangi,22.91819792,11.95587267,1755545.536,5963303.767,-36.46292493,174.7359605
69,506642,South Head,317.29699,308.5815395,1716709.679,5950615.266,-36.5828012,174.3045715
70,506644,Parakai Rural,16.9217141,16.9217141,1726101.121,5940509.343,-36.6726834,174.4111804
71,506645,Parakai Urban,1.9398092,1.9398092,1728224.555,5942280.72,-36.65643564,174.4346404
72,506646,Kaukapakapa Rural,123.7673316,123.7673316,1733200.513,5946542.002,-36.61734978,174.4895575
73,506647,Kaukapakapa,3.23368382,3.23368382,1733893.53,5945713.575,-36.62471838,174.4974494
74,506648,Helensville South,16.05032409,16.05032409,1730796.661,5937740.648,-36.69700058,174.4641852
75,506652,Rewiti,77.80022153,77.80022153,1729379.825,5928846.441,-36.7773486,174.4498362
76,506653,Riverhead,123.3320808,123.3320808,1739105.136,5935322.399,-36.71761274,174.5576029
77,506654,Muriwai Beach,3.01223041,3.01223041,1727461.122,5923559.865,-36.82525088,174.4292264
78,508310,Glenfield Central,1.38327194,1.38327194,1754120.466,5927664.165,-36.78430046,174.7272149
79,508320,Glenfield North,2.03095085,2.03095085,1754634.905,5928695.66,-36.7749222,174.7327685
80,508411,Glendhu,2.11412985,2.11412985,1752636.621,5929049.469,-36.77205811,174.7103149
81,508412,Witheford,1.00971831,1.00971831,1752593.861,5928228.188,-36.77946535,174.7100003
82,508420,Target Road,2.42748686,2.42748686,1754411.873,5929942.042,-36.76372785,174.7300179
83,508510,Forrest Hill,1.71947885,1.71947885,1755828.407,5929625.151,-36.76635142,174.7459467
84,508520,Sunnynook,2.01763307,2.01763307,1755395.332,5930995.233,-36.75407723,174.7408173
85,508610,Monarch Park,1.57399144,1.57399144,1754375.896,5926120.144,-36.79817146,174.7303892
86,508620,Sunnybrae,1.33398914,1.33398914,1755275.517,5927151.705,-36.78872938,174.7402585
87,508701,Albany,7.78438538,7.78438538,1751503.81,5934603.651,-36.722192,174.6965242
88,508703,Fairview,1.60189211,1.60189211,1753337.822,5935915.865,-36.71007344,174.7167898
89,508704,Northcross,1.30004441,1.30004441,1753602.461,5934939.472,-36.71882876,174.7199477
90,508803,Unsworth Heights,1.8089613,1.8089613,1753176.917,5930677.819,-36.7572983,174.7160395
91,508804,Pinehill,1.6340178,1.6340178,1753907.817,5933546.823,-36.73132814,174.723646
92,508805,Windsor Park,2.68598737,2.68598737,1754516.272,5932264.704,-36.74278207,174.7307168
93,508806,North Harbour West,2.88135769,2.88135769,1750712.739,5932038.081,-36.74543603,174.6881756
94,508807,North Harbour East,5.16240689,5.16240689,1752404.059,5932078.19,-36.74480439,174.707105
95,508900,Long Bay,10.45392519,10.45392519,1754628.943,5939126.77,-36.68093141,174.7305906
96,509000,Paremoremo East,13.75579397,13.75579397,1748278.533,5931949.616,-36.74661683,174.6609371
97,509100,Greenhithe,9.12674803,9.12674803,1750473.346,5929421.616,-36.76905071,174.6860112
98,509300,Narrow Neck,1.73307605,1.73307605,1760251.332,5924029.281,-36.81603449,174.796658
99,509400,Mt Victoria,1.84149618,1.84149618,1760639.696,5922879.511,-36.82632834,174.801253
100,509500,Stanley Bay,1.05786474,1.05786474,1759138.765,5922894.124,-36.8264504,174.7844275
101,509701,Ocean View,1.38193614,1.38193614,1755223.622,5926113.937,-36.79808878,174.7398886
102,509702,Tuff Crater,2.64735131,2.02700117,1756324.941,5925547.987,-36.80300708,174.7523442
103,509800,Northcote South,1.76247819,1.76247819,1755460.353,5924388.222,-36.81359957,174.7428935
104,512300,Te Atatu Central,2.74434378,2.74434378,1747059.546,5920821.328,-36.84708358,174.649437
105,512401,Edmonton,1.0645026,1.0645026,1746381.489,5918882.094,-36.86466317,174.6422086
106,512402,Wakeling,1.36314968,1.36314968,1747032.509,5919143.064,-36.86221048,174.6494589
107,512500,Mcleod,2.08042424,2.08042424,1746919.024,5917542.991,-36.87664621,174.6484961
108,512600,Konini,1.97176011,1.97176011,1746393.854,5911719.441,-36.92920299,174.6437312
109,512700,Waima,3.49722264,3.49722264,1745646.458,5909891.051,-36.94579414,174.6356946
110,512801,Laingholm,4.33402316,4.33402316,1745144.063,5907901.988,-36.96379483,174.6304366
111,512802,Armour Bay,1.47849078,1.47849078,1743592.225,5906600.087,-36.97576419,174.6132584
112,512902,Otimai,16.80611111,16.80611111,1743069.854,5911549.143,-36.9312481,174.6064545
113,512903,Parrs Park West,0.71238557,0.71238557,1744982.136,5915023.242,-36.89965099,174.6272533
114,512904,Parrs Park,0.58041867,0.58041867,1745371.553,5914430.032,-36.90493643,174.6317363
115,512905,Oratia West,0.79310915,0.79310915,1744354.972,5914090.444,-36.90815259,174.6203945
116,512906,Oratia,1.06005405,1.06005405,1745125.062,5913487.167,-36.91347046,174.6291512
117,513011,Henderson West,0.7299082,0.7299082,1744051.039,5916747.524,-36.88425614,174.6164789
118,513012,Palm Heights,1.33999959,1.33999959,1743519.897,5915693.386,-36.89383593,174.6107204
119,513013,McLaren Park,0.77534805,0.77534805,1744287.519,5915174.837,-36.89839149,174.619431
120,513020,Opanuku,22.60463906,22.60463906,1740295.689,5914447.777,-36.90554528,174.5747784
121,513101,Swanson,2.52727157,2.52727157,1740881.135,5919031.448,-36.86415379,174.5804958
122,513102,Swanson South,8.5892103,8.5892103,1739782.683,5917391.498,-36.87909498,174.5684791
123,513211,Urlich,0.63375886,0.63375886,1742510.794,5919337.107,-36.86115497,174.5987146
124,513212,Starling Park,0.75578103,0.75578103,1743194.479,5919654.387,-36.85819254,174.6063217
125,513213,Ranui Domain,0.84921135,0.84921135,1743062.609,5918873.052,-36.8652532,174.6049902
126,513214,Ranui South,0.98694212,0.98694212,1742227.112,5918243.806,-36.8710496,174.5957382
127,513220,Sturges North,3.75837069,3.75837069,1743209.087,5917560.335,-36.87705999,174.6068807
128,513301,Kingdale,2.71807316,2.71807316,1745351.93,5919989.374,-36.85484449,174.6304505
129,513302,Fairdene,1.91609271,1.91609271,1744866.574,5918808.837,-36.86555687,174.6252335
130,514600,Avondale South,1.45419741,1.45419741,1751508.755,5913246.15,-36.91463795,174.7008337
131,514700,Blockhouse Bay,2.44996904,2.44996904,1751582.981,5912210.206,-36.92396046,174.7018741
132,514801,Rosebank,3.57682476,3.57682476,1749339.721,5917219.554,-36.8791808,174.6757106
133,514802,Avondale West,1.592382,1.592382,1750408.905,5915531.408,-36.8942224,174.6880379
134,514900,Waterview,1.11840001,1.11840001,1751447.377,5917147.045,-36.87949838,174.6993653
135,515001,Point Chevalier West,1.25577294,1.25577294,1751758.922,5918606.584,-36.86629697,174.7025677
136,515002,Point Chevalier East,1.4604845,1.4604845,1752449.609,5918945.527,-36.86313165,174.7102452
137,515003,Point Chevalier South,1.28579877,1.28579877,1752680.357,5917691.907,-36.87439023,174.713085
138,515100,Westmere,2.11185609,2.11185609,1753377.564,5919588.711,-36.85718598,174.7205212
139,515201,Herne Bay,0.82001651,0.82001651,1754418.793,5920967.365,-36.84459396,174.7319161
140,515202,St Marys,0.94110564,0.94110564,1755594.241,5921145.993,-36.84279167,174.7450574
141,515301,Ponsonby West,0.70695556,0.70695556,1754578.298,5920350.169,-36.85012915,174.7338299
142,515302,Ponsonby East,0.71655548,0.71655548,1755275.153,5920188.748,-36.85146938,174.7416759
143,515410,Grey Lynn West,0.83155151,0.83155151,1754782.381,5919384.082,-36.85880068,174.736315
144,515420,Grey Lynn East,0.78483355,0.78483355,1755545.373,5919078.77,-36.86142635,174.744933
145,515431,Surrey Crescent,1.22282312,1.22282312,1754136.943,5918739.406,-36.86471507,174.7292085
146,515432,St Lukes North,0.20061831,0.20061831,1754079.353,5918104.671,-36.87044375,174.7286916
147,515500,Arch Hill,0.4985712,0.4985712,1755732.225,5918641.392,-36.86533653,174.747118
148,515600,Eden Terrace,0.46815938,0.46815938,1756536.095,5918574.422,-36.86580707,174.7561464
149,515700,Epsom North,1.37403651,1.37403651,1757878.001,5917410.406,-36.87607185,174.7714367
150,515801,Epsom Central,1.10590323,1.10590323,1757719.272,5916112.817,-36.88779004,174.7699263
151,515802,Epsom South,0.95120352,0.95120352,1757426.323,5915176.525,-36.89627523,174.7668348
152,515901,Parnell East,0.88321457,0.88321457,1759410.697,5919184.665,-36.85982783,174.7882536
153,515902,Parnell West,2.10826998,2.10826998,1758684.269,5919654.515,-36.85571665,174.78001
154,516001,Mt Hobson,0.90348814,0.90348814,1759039.379,5917159.47,-36.87813792,174.7845146
155,517901,Springleigh,1.06303325,1.06303325,1752186.438,5916444.682,-36.88570822,174.7077958
156,517902,Owairaka West,0.819137,0.819137,1752518.944,5915337.466,-36.89563119,174.7117483
157,517903,Owairaka East,1.19252495,1.19252495,1753138.556,5915795.735,-36.89140157,174.7186069
158,518101,Mt Eden North,0.90383659,0.90383659,1756975.273,5918059.853,-36.87037063,174.7611778
159,518102,Sherbourne,0.86068955,0.86068955,1756795.589,5917423.733,-36.87613215,174.7592942
160,518201,Balmoral,1.39765053,1.39765053,1756024.26,5916793.561,-36.88193803,174.7507729
161,518202,Mt Eden East,0.73852239,0.73852239,1756882.417,5916417.124,-36.88518762,174.7604762
162,518301,Maungawhau,1.01115007,1.01115007,1756073.144,5915840.316,-36.89051905,174.7515175
163,518302,Mt Eden South,1.10603674,1.10603674,1756079.784,5915250.414,-36.89583319,174.7517135
164,518500,Three Kings,1.81490238,1.81490238,1755832.921,5914504.408,-36.90259579,174.7490975
165,518600,Royal Oak,1.55801134,1.55801134,1757453.921,5914168.827,-36.90535026,174.7673538
166,518701,Hillsborough West,2.03010576,2.03010576,1756018.814,5912888.407,-36.91712578,174.7515161
167,518702,Hillsborough East,2.16199879,2.16199879,1756914.837,5912570.247,-36.91984378,174.7616368
168,518801,Walmsley,1.14975951,1.14975951,1753751.832,5914754.651,-36.90068251,174.7256979
169,518802,Wesley,1.18068015,1.18068015,1754303.394,5914127.986,-36.90623898,174.7320137
170,518803,Akarana,2.1020202,2.1020202,1755029.998,5913383.394,-36.91282889,174.7403186
171,518901,Lynfield North,2.06434732,2.06434732,1753531.85,5912869.221,-36.91770697,174.7236121
172,518902,Lynfield South,1.72931638,1.72931638,1753084.685,5911604.633,-36.92917424,174.7188499
173,519001,Waikowhai West,1.4259007,1.4259007,1754222.371,5911512.475,-36.92981911,174.7316375
174,519002,Waikowhai East,1.40819375,1.40819375,1755231.717,5911690.447,-36.92804978,174.7429293
175,519200,Mt St John,1.31730414,1.31730414,1758869.499,5916391.82,-36.88508323,174.7827701
176,519300,One Tree Hill Central,3.05866235,3.05866235,1758776.097,5914890.422,-36.89862688,174.782037
177,519400,One Tree Hill East,1.60430019,1.60430019,1760154.911,5914703.592,-36.90007717,174.7975448
178,519500,Penrose,4.27648296,4.27648296,1761744.239,5912572.121,-36.91901061,174.8158303
