Date,Open,High,Low,Close,Adj Close,Volume
2016-09-20,7308.439941,7327.680176,7266.859863,7281.169922,7281.169922,46307100
2016-09-21,7319.330078,7327.620117,7304.520020,7311.709961,7311.709961,28508000
2016-09-22,7311.709961,7328.160156,7281.870117,7296.740234,7296.740234,36264700
2016-09-25,7296.729980,7296.740234,7259.350098,7264.870117,7264.870117,22809000
2016-09-26,7264.859863,7265.250000,7220.810059,7252.919922,7252.919922,31675000
2016-09-27,7260.399902,7290.450195,7255.600098,7290.450195,7290.450195,33308300
2016-09-28,7305.419922,7349.790039,7300.189941,7343.450195,7343.450195,31613300
2016-09-29,7343.450195,7361.089844,7299.279785,7361.089844,7361.089844,48671700
2016-10-02,7352.220215,7372.490234,7333.819824,7372.490234,7372.490234,23820700
2016-10-03,7372.490234,7372.490234,7330.589844,7352.459961,7352.459961,29028500
2016-10-04,7352.470215,7352.470215,7271.000000,7271.160156,7271.160156,38617800
2016-10-05,7271.160156,7271.160156,7194.109863,7197.290039,7197.290039,38144500
2016-10-06,7197.290039,7197.299805,7130.410156,7167.810059,7167.810059,32018200
2016-10-09,7167.819824,7167.819824,7109.759766,7116.919922,7116.919922,23020100
2016-10-10,7116.930176,7153.359863,7114.660156,7124.229980,7124.229980,30204000
2016-10-11,7124.240234,7124.240234,7098.850098,7107.459961,7107.459961,32856400
2016-10-12,7107.450195,7136.430176,7102.040039,7120.049805,7120.049805,32415000
2016-10-13,7120.049805,7133.870117,7109.120117,7133.259766,7133.259766,29629800
2016-10-16,7133.259766,7133.259766,7043.370117,7066.370117,7066.370117,29645100
2016-10-17,7066.370117,7066.370117,6965.240234,6973.089844,6973.089844,44662900
2016-10-18,6973.089844,6996.379883,6962.220215,6976.540039,6976.540039,39171200
2016-10-19,6976.529785,6982.549805,6954.299805,6973.779785,6973.779785,39575800
2016-10-20,6973.779785,6978.859863,6938.549805,6958.399902,6958.399902,33366200
2016-10-24,6958.399902,7006.209961,6958.399902,7002.870117,7002.870117,44653100
2016-10-25,7003.270020,7013.649902,6892.270020,6896.200195,6896.200195,32738800
2016-10-26,6896.200195,6941.950195,6896.200195,6941.950195,6941.950195,33072600
2016-10-27,6941.950195,6949.660156,6923.799805,6928.640137,6928.640137,31743000
2016-10-30,6943.299805,6960.680176,6902.720215,6960.680176,6960.680176,44034200
2016-10-31,6960.680176,6960.680176,6913.720215,6930.490234,6930.490234,30840700
2016-11-01,6931.459961,6931.459961,6851.310059,6853.750000,6853.750000,38020000
2016-11-02,6853.750000,6853.750000,6741.589844,6778.939941,6778.939941,43212300
2016-11-03,6778.930176,6778.939941,6708.470215,6708.470215,6708.470215,28643600
2016-11-06,6708.470215,6874.580078,6702.200195,6872.270020,6872.270020,37692300
2016-11-07,6872.259766,6931.479980,6872.259766,6894.359863,6894.359863,37924800
2016-11-08,6894.350098,6924.310059,6642.029785,6664.209961,6664.209961,35351500
2016-11-09,6664.220215,6887.640137,6664.209961,6733.720215,6733.720215,49922200
2016-11-10,6735.600098,6784.939941,6697.779785,6697.779785,6697.779785,42508000
2016-11-13,6701.810059,6742.910156,6701.810059,6737.759766,6737.759766,30196800
2016-11-14,6737.759766,6771.359863,6732.200195,6770.430176,6770.430176,39225300
2016-11-15,6770.419922,6832.290039,6770.419922,6824.580078,6824.580078,40975400
2016-11-16,6824.569824,6844.669922,6796.129883,6814.649902,6814.649902,34273600
2016-11-17,6814.649902,6867.049805,6812.870117,6857.839844,6857.839844,51541100
2016-11-20,6856.640137,6865.229980,6842.189941,6848.950195,6848.950195,38433100
2016-11-21,6848.950195,6878.660156,6816.390137,6816.390137,6816.390137,40233300
2016-11-22,6817.660156,6859.259766,6817.660156,6851.450195,6851.450195,47902100
2016-11-23,6856.459961,6904.540039,6848.180176,6883.250000,6883.250000,34251700
2016-11-24,6886.149902,6907.540039,6883.640137,6899.620117,6899.620117,28179000
2016-11-27,6899.609863,6919.129883,6899.459961,6902.950195,6902.950195,27104400
2016-11-28,6900.379883,6912.410156,6872.879883,6901.750000,6901.750000,39636500
2016-11-29,6903.509766,6911.790039,6882.600098,6896.950195,6896.950195,64248200
2016-11-30,6901.290039,6934.979980,6895.129883,6932.740234,6932.740234,46249900
2016-12-01,6933.359863,6973.450195,6890.649902,6904.850098,6904.850098,43984000
2016-12-04,6908.759766,6908.759766,6849.470215,6854.709961,6854.709961,39170200
2016-12-05,6860.029785,6910.370117,6860.029785,6910.359863,6910.359863,34192700
2016-12-06,6910.370117,6910.370117,6883.970215,6889.770020,6889.770020,43062300
2016-12-07,6891.069824,6917.709961,6891.069824,6916.009766,6916.009766,33173200
2016-12-08,6916.009766,6932.359863,6886.120117,6893.299805,6893.299805,39101200
2016-12-11,6876.040039,6876.040039,6876.040039,6876.040039,6876.040039,0
2016-12-12,6850.209961,6850.209961,6850.209961,6850.209961,6850.209961,0
2016-12-13,6797.859863,6797.859863,6797.859863,6797.859863,6797.859863,0
2016-12-14,6748.620117,6748.620117,6748.620117,6748.620117,6748.620117,0
2016-12-15,6762.790039,6807.370117,6748.620117,6760.240234,6760.240234,70554800
2016-12-18,6760.250000,6804.049805,6760.240234,6786.250000,6786.250000,28441200
2016-12-19,6789.669922,6789.669922,6789.669922,6789.669922,6789.669922,0
2016-12-20,6802.759766,6802.759766,6802.759766,6802.759766,6802.759766,0
2016-12-21,6851.870117,6851.870117,6851.870117,6851.870117,6851.870117,0
2016-12-22,6851.879883,6883.399902,6851.870117,6876.990234,6876.990234,14123400
2016-12-26,null,null,null,null,null,null
2016-12-27,6875.790039,6875.790039,6875.790039,6875.790039,6875.790039,0
2016-12-28,6892.279785,6892.279785,6892.279785,6892.279785,6892.279785,0
2016-12-29,6892.279785,6901.819824,6877.200195,6881.220215,6881.220215,17677100
2017-01-03,6974.299805,6974.299805,6974.299805,6974.299805,6974.299805,0
2017-01-04,6975.600098,6975.600098,6975.600098,6975.600098,6975.600098,0
2017-01-05,6976.200195,6986.290039,6966.020020,6970.660156,6970.660156,16458900
2017-01-08,7012.740234,7012.740234,7012.740234,7012.740234,7012.740234,0
2017-01-09,7012.729980,7038.629883,7011.370117,7037.580078,7037.580078,25889600
2017-01-10,7069.589844,7069.589844,7069.589844,7069.589844,7069.589844,0
2017-01-11,7063.589844,7063.589844,7063.589844,7063.589844,7063.589844,0
2017-01-12,7063.589844,7066.169922,7031.120117,7046.970215,7046.970215,28233600
2017-01-15,7046.970215,7074.939941,7046.529785,7074.939941,7074.939941,28394700
2017-01-16,7062.959961,7062.959961,7062.959961,7062.959961,7062.959961,0
2017-01-17,7062.959961,7072.089844,7033.419922,7059.279785,7059.279785,27615700
2017-01-18,7062.359863,7062.359863,7062.359863,7062.359863,7062.359863,0
2017-01-19,7062.359863,7063.930176,7044.040039,7048.470215,7048.470215,30846600
2017-01-22,7067.850098,7067.850098,7067.850098,7067.850098,7067.850098,0
2017-01-23,7064.160156,7064.160156,7064.160156,7064.160156,7064.160156,0
2017-01-24,7090.910156,7090.910156,7090.910156,7090.910156,7090.910156,0
2017-01-25,7113.330078,7113.330078,7113.330078,7113.330078,7113.330078,0
2017-01-26,7113.319824,7134.259766,7095.839844,7134.259766,7134.259766,20405700
2017-01-29,7118.910156,7135.729980,7085.140137,7085.560059,7085.560059,14840900
2017-01-30,7050.750000,7050.750000,7050.750000,7050.750000,7050.750000,0
2017-01-31,7055.500000,7055.500000,7055.500000,7055.500000,7055.500000,0
2017-02-01,7053.540039,7053.540039,7053.540039,7053.540039,7053.540039,0
2017-02-02,7048.160156,7094.390137,7047.319824,7094.379883,7094.379883,30201400
2017-02-06,7067.049805,7067.049805,7067.049805,7067.049805,7067.049805,0
2017-02-07,7066.270020,7066.270020,7066.270020,7066.270020,7066.270020,0
2017-02-08,7121.629883,7121.629883,7121.629883,7121.629883,7121.629883,0
2017-02-09,7121.629883,7145.459961,7099.270020,7104.430176,7104.430176,29269700
2017-02-12,7135.500000,7135.500000,7135.500000,7135.500000,7135.500000,0
