Meshblock (2013 areas),Area unit code (2013 areas),Area unit description,Ward code (2013 areas),Ward description,Local board code (2013 areas),Local board area description,Territorial authority code (2013 areas),Territorial authority area description,Regional council code (2013 areas),Regional council area description
MB 0138202,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138203,506659,Matakana,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138300,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138400,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138500,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138601,506657,Point Wells,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138603,506657,Point Wells,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138604,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138605,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138701,506657,Point Wells,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138702,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138807,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138809,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138810,506658,Omaha,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138811,506658,Omaha,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138812,506658,Omaha,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138813,506658,Omaha,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138814,506658,Omaha,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138815,506658,Omaha,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138816,506658,Omaha,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138817,506658,Omaha,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138818,506658,Omaha,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138819,506658,Omaha,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138820,506658,Omaha,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138821,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138900,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139000,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139102,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139103,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139104,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139105,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139106,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139107,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139200,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139301,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139302,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139303,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139304,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139305,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139400,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139501,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139504,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139505,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139506,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139507,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139600,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139700,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139800,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0139900,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140000,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140102,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140104,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140105,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140106,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140107,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140108,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140201,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140202,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140203,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140204,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140300,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140400,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140500,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140600,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140700,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140800,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0140900,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141001,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141003,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141004,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141005,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141006,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141007,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141101,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141102,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141103,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141200,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141301,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141302,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141303,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141304,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141305,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141306,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141307,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141400,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141503,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141505,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141506,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141507,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141508,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141510,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141511,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141512,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141513,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141514,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141515,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141516,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141517,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141518,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141603,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141605,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141606,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141607,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141608,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141705,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141707,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141708,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141709,506633,Algies Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141710,506633,Algies Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141711,506633,Algies Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141712,506633,Algies Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141713,506633,Algies Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141714,506633,Algies Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141715,506633,Algies Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141716,506633,Algies Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141717,506633,Algies Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141718,506633,Algies Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141806,506633,Algies Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141807,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141808,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141809,506631,Snells Beach,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141810,506634,Mahurangi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141811,506634,Mahurangi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141812,506633,Algies Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141813,506633,Algies Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141814,506633,Algies Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141815,506633,Algies Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141816,506633,Algies Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141901,506634,Mahurangi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0141902,506634,Mahurangi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0142000,506634,Mahurangi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0142100,506620,Kawau,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0142200,505300,Wellsford,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0142300,505300,Wellsford,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0142400,505300,Wellsford,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0142500,505300,Wellsford,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0142600,505300,Wellsford,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0142700,505300,Wellsford,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0142800,505300,Wellsford,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0142900,505300,Wellsford,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0143000,505300,Wellsford,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0143100,505300,Wellsford,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0143200,505300,Wellsford,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0143300,505300,Wellsford,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0143400,505300,Wellsford,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0143500,505300,Wellsford,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0143600,505300,Wellsford,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0143700,505300,Wellsford,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0143800,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0143900,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0144000,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0144100,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0144200,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0144300,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0144400,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0144500,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0144600,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0144700,506613,Tauhoa-Puhoi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0144800,506613,Tauhoa-Puhoi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0144900,506613,Tauhoa-Puhoi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0145000,506613,Tauhoa-Puhoi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0145100,506613,Tauhoa-Puhoi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0145200,506613,Tauhoa-Puhoi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0145300,506613,Tauhoa-Puhoi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0145400,506613,Tauhoa-Puhoi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0145500,506613,Tauhoa-Puhoi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0145600,506613,Tauhoa-Puhoi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0145700,506613,Tauhoa-Puhoi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0145800,506613,Tauhoa-Puhoi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0145900,506613,Tauhoa-Puhoi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0146002,505500,Warkworth,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0146003,506613,Tauhoa-Puhoi,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
