Count,Gender,Totwkfood,Occupation,Organic,Size,Mktspend,Stalls,Time,Visitfreq
151,1,150 ,0,1,4,60,1,50,1
152,0,95 ,5,0,3,35,2,60,2
153,1,275 ,1,1,5,110,1,90,0
154,1,205 ,2,1,2,95,1,45,1
155,1,75 ,4,1,1,30,1,30,1
156,0,325 ,1,0,4,60,2,55,0
157,1,145 ,0,0,0,65,1,40,2
158,1,125 ,0,0,5,20,3,30,3
159,0,80 ,3,0,2,25,4,30,3
160,1,105 ,4,0,2,20,3,38,3
161,1,225 ,2,1,4,75,4,40,1
162,1,265 ,0,0,6,60,2,20,1
163,1,125 ,1,1,3,45,4,90,2
164,1,85 ,4,0,1,20,4,60,3
165,1,210 ,2,0,5,50,1,45,1
166,1,145 ,0,0,6,25,4,30,3
167,0,245 ,2,0,2,80,2,40,2
168,1,250 ,3,0,5,75,1,35,2
169,1,200 ,3,0,2,80,4,45,2
170,1,165 ,1,1,3,70,2,40,1
171,1,125 ,2,1,1,57,2,55,2
172,1,175 ,2,1,1,45,4,70,0
173,1,165 ,2,1,1,50,3,75,0
174,0,250 ,2,1,4,79,2,42,0
175,0,211 ,2,0,2,70,4,48,2
176,0,175 ,2,0,2,60,2,42,2
177,1,200 ,2,1,4,66,2,69,1
178,1,290 ,2,1,3,90,1,95,0
179,1,325 ,2,1,2,110,1,65,0
180,1,375 ,2,1,5,80,1,28,1
181,1,165 ,2,0,2,58,4,52,2
182,1,375 ,2,1,5,130,2,95,2
183,1,145 ,2,1,2,60,1,60,2
184,0,110 ,4,0,1,35,3,79,3
185,0,85 ,4,0,1,25,4,40,2
186,1,75 ,4,0,1,30,4,15,3
187,1,110 ,4,0,1,35,3,90,3
188,0,145 ,0,0,2,20,3,47,2
189,0,235 ,2,0,1,75,3,25,3
190,1,125 ,5,0,1,17,4,35,0
191,0,175 ,5,0,3,40,1,65,1
192,0,85 ,5,0,1,22,4,15,2
193,1,205 ,2,0,2,60,4,52,1
194,0,275 ,2,1,4,92,2,60,1
195,0,305 ,2,0,6,72,1,68,1
196,1,325 ,0,0,6,60,1,60,1
197,1,285 ,3,1,4,45,3,70,0
198,1,300 ,3,1,4,65,1,80,0
199,1,125 ,2,1,1,55,1,72,0
200,1,375 ,1,1,6,95,2,78,0
201,1,365 ,2,0,3,45,1,40,1
202,1,415 ,0,1,5,20,1,26,1
203,1,205 ,2,0,2,35,1,29,2
204,0,375 ,0,1,6,22,1,29,2
205,1,385 ,3,1,4,26,1,45,1
206,1,115 ,4,1,1,15,1,30,3
207,1,300 ,3,1,3,40,1,45,3
208,0,425 ,1,1,6,35,1,50,2
209,1,575 ,0,1,5,34,3,20,0
210,1,300 ,0,0,2,28,2,26,2
211,1,375 ,4,0,2,22,1,25,1
212,1,345 ,1,0,4,37,2,45,3
213,1,425 ,3,1,5,39,1,35,0
214,0,160 ,5,0,1,18,1,14,1
215,0,375 ,2,1,6,58,1,15,2
216,1,275 ,2,0,5,35,1,38,1
217,1,395 ,0,1,6,25,3,10,3
218,0,270 ,1,1,4,39,1,21,2
219,0,275 ,0,0,3,55,1,45,1
220,0,485 ,3,0,6,28,2,35,0
221,1,300 ,5,0,2,38,1,17,3
222,1,425 ,4,1,4,23,3,40,2
223,0,175 ,5,1,1,18,1,18,2
224,0,575 ,2,0,5,35,2,40,3
225,1,300 ,3,0,3,29,1,40,2
226,1,500 ,0,0,5,29,1,45,0
227,0,260 ,5,0,2,24,1,17,2
228,1,325 ,0,0,6,35,1,25,3
229,0,475 ,2,0,4,22,1,28,1
230,0,155 ,4,1,1,20,1,22,2
231,1,300 ,5,1,3,29,2,25,0
232,1,395 ,2,1,6,28,2,35,2
233,0,370 ,2,1,5,26,1,12,1
234,1,170 ,2,1,2,28,1,19,3
235,1,255 ,2,0,2,32,1,50,1
236,1,345 ,2,1,4,46,1,28,1
237,1,375 ,1,0,5,19,1,35,2
238,1,115 ,0,1,1,22,1,15,2
239,1,475 ,2,0,6,68,1,35,2
240,1,445 ,2,1,5,14,3,15,2
241,0,375 ,0,1,6,48,1,29,0
242,0,450 ,2,0,4,38,3,17,3
243,1,395 ,2,1,3,28,1,18,3
244,1,600 ,2,0,6,26,1,32,1
245,0,220 ,4,1,2,16,1,22,3
246,1,310 ,3,0,4,37,1,21,2
247,1,175 ,4,1,1,28,1,24,0
248,0,380 ,2,0,5,17,1,26,0
249,0,390 ,1,1,6,38,1,27,1
250,0,175 ,2,0,2,30,4,30,2
251,1,225 ,2,1,3,40,1,40,1
252,1,275 ,2,1,4,35,2,30,1
253,1,125 ,2,1,1,30,1,30,0
254,1,255 ,1,0,4,40,2,40,1
255,1,325 ,0,1,4,30,1,30,0
256,0,425 ,2,1,5,45,2,25,1
257,1,275 ,0,0,5,30,1,30,1
258,0,175 ,4,0,2,30,3,30,1
259,1,225 ,3,1,3,35,4,25,0
260,1,275 ,5,0,5,25,1,35,0
261,1,295 ,2,1,2,40,2,40,1
262,0,355 ,2,0,4,45,2,25,0
263,1,425 ,2,1,5,50,1,30,0
264,1,245 ,2,1,3,20,1,35,1
265,0,115 ,0,1,2,30,1,40,0
266,0,145 ,4,0,2,25,1,35,1
267,0,105 ,3,1,1,25,1,20,1
268,1,245 ,1,1,5,45,2,40,0
269,1,375 ,2,1,6,45,4,25,3
270,1,225 ,0,1,6,45,1,25,0
271,0,145 ,5,0,2,25,1,35,0
272,1,295 ,2,0,3,25,3,20,2
273,1,105 ,4,0,1,20,3,25,0
274,1,245 ,1,0,2,45,2,20,0
275,0,425 ,2,1,4,50,2,35,1
276,1,325 ,1,1,5,20,4,10,0
277,0,275 ,1,1,4,30,1,20,0
