Meshblock (2013 Areas),Year,2001 proportion single family households
MB 0669402,2001,0.6
MB 0669500,2001,0.875
MB 0669601,2001,0.642857143
MB 0669602,2001,0.7
MB 0669700,2001,0.857142857
MB 0669800,2001,0.444444444
MB 0669900,2001,0.818181818
MB 0670000,2001,0.75
MB 0670100,2001,0.818181818
MB 0670200,2001,0.75
MB 0670300,2001,0.857142857
MB 0670400,2001,0.777777778
MB 0670500,2001,0.733333333
MB 0670600,2001,0.666666667
MB 0670700,2001,0.75
MB 0670801,2001,0.6
MB 0670802,2001,#VALUE!
MB 0670901,2001,0.75
MB 0670902,2001,0.636363636
MB 0670903,2001,#VALUE!
MB 0671000,2001,0.75
MB 0671100,2001,0.75
MB 0671200,2001,0.545454545
MB 0671300,2001,0.714285714
MB 0671400,2001,0.733333333
MB 0671501,2001,0.666666667
MB 0671502,2001,0.6
MB 0671503,2001,0.75
MB 0671600,2001,0.727272727
MB 0671700,2001,0.733333333
MB 0671801,2001,0.555555556
MB 0671802,2001,0.75
MB 0671803,2001,0.5
MB 0671804,2001,0.666666667
MB 0671900,2001,0.583333333
MB 0672001,2001,0.5
MB 0672002,2001,0.6
MB 0672003,2001,0.833333333
MB 0672004,2001,#VALUE!
MB 0672101,2001,0.75
MB 0672103,2001,0.625
MB 0672104,2001,0.5
MB 0672105,2001,0.4
MB 0672200,2001,0.5625
MB 0672300,2001,0.666666667
MB 0672400,2001,0.75
MB 0672500,2001,0.533333333
MB 0672600,2001,0.571428571
MB 0672700,2001,0.555555556
MB 0672801,2001,0.6
MB 0672802,2001,0.8
MB 0672900,2001,0.619047619
MB 0673000,2001,0.666666667
MB 0673100,2001,0.714285714
MB 0673201,2001,0.571428571
MB 0673202,2001,0.555555556
MB 0673203,2001,0.625
MB 0673301,2001,0.576923077
MB 0673302,2001,0.636363636
MB 0673303,2001,#VALUE!
MB 0673401,2001,0.5
MB 0673402,2001,0.545454545
MB 0673500,2001,0.727272727
MB 0673600,2001,0.7
MB 0673700,2001,0.6
MB 0673800,2001,0.692307692
MB 0673900,2001,0.818181818
MB 0674000,2001,0.571428571
MB 0674100,2001,0.75
MB 0674200,2001,0.666666667
MB 0674300,2001,0.615384615
MB 0674400,2001,#VALUE!
MB 0674500,2001,#VALUE!
MB 0674600,2001,1
MB 0674700,2001,0.5
MB 0674800,2001,0.25
MB 0674900,2001,#VALUE!
MB 0675000,2001,1
MB 0675100,2001,0.666666667
MB 0675200,2001,0.833333333
MB 0675300,2001,0.862068966
MB 0675400,2001,0.708333333
MB 0675500,2001,0.714285714
MB 0675600,2001,0.833333333
MB 0675700,2001,0.869565217
MB 0675801,2001,0.833333333
MB 0675802,2001,0.833333333
MB 0675803,2001,0.9
MB 0675804,2001,1
MB 0675901,2001,0.777777778
MB 0675902,2001,0.8
MB 0675903,2001,0.777777778
MB 0675904,2001,1
MB 0676000,2001,0.636363636
MB 0676101,2001,0.916666667
MB 0676102,2001,0.777777778
MB 0676103,2001,0.833333333
MB 0676104,2001,0.857142857
MB 0676200,2001,1
MB 0676301,2001,0.904761905
MB 0676302,2001,0.9
MB 0676402,2001,0.625
MB 0676403,2001,0.8
MB 0676404,2001,0.730769231
MB 0676500,2001,0.742857143
MB 0676602,2001,0.714285714
MB 0676603,2001,0.736842105
MB 0676604,2001,0.75
MB 0676605,2001,0.875
MB 0676700,2001,0.789473684
MB 0676800,2001,0.8
MB 0676900,2001,0.75
MB 0677000,2001,0.793103448
MB 0677100,2001,0.814814815
MB 0677200,2001,0.782608696
MB 0677300,2001,0.866666667
MB 0677400,2001,0.846153846
MB 0677501,2001,0.8
MB 0677502,2001,0.714285714
MB 0677503,2001,0.857142857
MB 0677504,2001,0.833333333
MB 0677505,2001,0.833333333
MB 0677600,2001,0.75
MB 0677700,2001,0.833333333
MB 0677800,2001,0.842105263
MB 0677901,2001,0.916666667
MB 0677902,2001,0.888888889
MB 0677904,2001,0.882352941
MB 0677905,2001,0.866666667
MB 0678001,2001,0.916666667
MB 0678003,2001,1
MB 0678004,2001,0.947368421
MB 0678100,2001,0.9
MB 0678200,2001,0.857142857
MB 0678300,2001,0.791666667
MB 0678400,2001,0.909090909
MB 0678501,2001,0.904761905
MB 0678502,2001,0.733333333
MB 0678601,2001,0.928571429
MB 0678602,2001,1
MB 0678700,2001,0.894736842
MB 0678801,2001,0.8
MB 0678802,2001,1
MB 0678803,2001,0.904761905
MB 0678900,2001,0.80952381
MB 0679000,2001,0.857142857
MB 0679100,2001,0.648648649
MB 0679200,2001,0.764705882
MB 0679301,2001,0.823529412
MB 0679304,2001,0.793103448
MB 0679306,2001,0.857142857
MB 0679307,2001,0.869565217
MB 0679308,2001,0.857142857
MB 0679309,2001,0.833333333
MB 0679310,2001,1
MB 0679311,2001,0.75
MB 0679400,2001,0.777777778
MB 0679500,2001,0.75
MB 0679600,2001,0.666666667
MB 0679700,2001,0.733333333
MB 0679801,2001,0.909090909
MB 0679802,2001,0.8
MB 0679804,2001,0.793103448
MB 0679805,2001,0.666666667
MB 0679806,2001,0.85
MB 0679807,2001,0.818181818
MB 0679808,2001,0.733333333
MB 0679809,2001,0.774193548
MB 0679810,2001,0.695652174
MB 0679811,2001,0.727272727
MB 0679812,2001,#VALUE!
MB 0679813,2001,0.769230769
MB 0679814,2001,1
MB 0679900,2001,0.833333333
MB 0680001,2001,0.785714286
MB 0680002,2001,1
MB 0680100,2001,0.8
MB 0680200,2001,0.785714286
MB 0680300,2001,0.826086957
MB 0680401,2001,0.666666667
MB 0680402,2001,0.8
MB 0680403,2001,0.555555556
MB 0680404,2001,1
MB 0680501,2001,0.857142857
MB 0680502,2001,0.826086957
MB 0680503,2001,0.888888889
MB 0680601,2001,0.85
MB 0680602,2001,0.888888889
MB 0680705,2001,0.857142857
MB 0680706,2001,0.709677419
MB 0680708,2001,0.833333333
MB 0680709,2001,#VALUE!
MB 0680711,2001,1
MB 0680712,2001,#VALUE!
MB 0680713,2001,0.8
MB 0680714,2001,0.5
MB 0680715,2001,0.875
MB 0680716,2001,0.833333333
MB 0680717,2001,0.8
MB 0680718,2001,0.875
MB 0680719,2001,0.8
MB 0680720,2001,0.75
MB 0680721,2001,0.714285714
MB 0680722,2001,0.666666667
MB 0680723,2001,0.833333333
MB 0680724,2001,0.4
MB 0680725,2001,0.6
MB 0680726,2001,0.8
MB 0680727,2001,0.8
MB 0680728,2001,0.714285714
MB 0680801,2001,0.821428571
MB 0680804,2001,#VALUE!
MB 0680805,2001,0.7
MB 0680806,2001,0.857142857
MB 0680807,2001,0.7
MB 0680808,2001,0.375
MB 0680809,2001,0.857142857
MB 0680810,2001,0.666666667
MB 0680900,2001,0.75
MB 0681000,2001,0.833333333
MB 0681101,2001,0.789473684
MB 0681103,2001,0.882352941
MB 0681104,2001,0.933333333
MB 0681105,2001,1
MB 0681203,2001,0.75
MB 0681207,2001,0.5
MB 0681208,2001,0.357142857
MB 0681209,2001,0.285714286
MB 0681210,2001,0.428571429
MB 0681211,2001,#VALUE!
MB 0681212,2001,0.4
MB 0681213,2001,0.3
MB 0681214,2001,0.818181818
MB 0681215,2001,0.636363636
MB 0681216,2001,#VALUE!
MB 0681217,2001,0.777777778
MB 0681218,2001,0.714285714
MB 0681219,2001,0.75
MB 0681220,2001,0.428571429
MB 0681303,2001,0.692307692
MB 0681304,2001,#VALUE!
MB 0681308,2001,#VALUE!
MB 0681309,2001,0.552631579
MB 0681310,2001,0.523809524
MB 0681311,2001,0.739130435
MB 0681312,2001,0.684210526
MB 0681317,2001,0.769230769
MB 0681318,2001,0.928571429
MB 0681319,2001,0.230769231
MB 0681320,2001,0.545454545
MB 0681321,2001,0.785714286
MB 0681323,2001,0.833333333
MB 0681324,2001,0.608695652
MB 0681325,2001,0.6
MB 0681326,2001,0.75
MB 0681327,2001,0.826086957
MB 0681328,2001,0.888888889
MB 0681329,2001,0.695652174
MB 0681330,2001,0.764705882
MB 0681331,2001,0.857142857
MB 0681332,2001,0.777777778
MB 0681333,2001,0.857142857
MB 0681334,2001,0.846153846
MB 0681335,2001,0.727272727
MB 0681336,2001,1
MB 0681337,2001,0.882352941
MB 0681338,2001,0.857142857
MB 0681400,2001,0.909090909
MB 0681500,2001,0.75
MB 0681600,2001,0.705882353
MB 0681700,2001,0.722222222
MB 0681800,2001,0.615384615
MB 0681900,2001,0.85
MB 0682000,2001,0.833333333
MB 0682100,2001,0.8125
MB 0682200,2001,0.769230769
MB 0682301,2001,0.842105263
MB 0682302,2001,1
MB 0682400,2001,0.7
MB 0682500,2001,0.764705882
MB 0682600,2001,0.941176471
MB 0682700,2001,0.8
MB 0682800,2001,0.772727273
MB 0682900,2001,0.722222222
MB 0683000,2001,0.761904762
MB 0683100,2001,0.692307692
MB 0683200,2001,0.642857143
MB 0683300,2001,0.542857143
MB 0683400,2001,0.615384615
MB 0683500,2001,0.681818182
MB 0683600,2001,0.769230769
MB 0683700,2001,0.666666667
MB 0683800,2001,0.666666667
MB 0683900,2001,0.458333333
MB 0684000,2001,0.8
MB 0684100,2001,0.888888889
MB 0684200,2001,0.7
MB 0684300,2001,0.705882353
MB 0684400,2001,0.642857143
MB 0684500,2001,0.777777778
MB 0684601,2001,0.625
MB 0684602,2001,0.545454545
MB 0684701,2001,1
MB 0684702,2001,1
MB 0684800,2001,0.727272727
MB 0684900,2001,0.75
MB 0685000,2001,0.714285714
MB 0685100,2001,0.666666667
MB 0685200,2001,0.764705882
MB 0685300,2001,0.642857143
MB 0685400,2001,0.615384615
MB 0685500,2001,0.777777778
MB 0685600,2001,0.846153846
MB 0685700,2001,0.769230769
MB 0685800,2001,0.769230769
MB 0685900,2001,0.571428571
MB 0686000,2001,0.619047619
MB 0686100,2001,0.666666667
MB 0686200,2001,0.857142857
MB 0686300,2001,0.533333333
MB 0686400,2001,0.72
MB 0686501,2001,0.636363636
MB 0686502,2001,0.777777778
MB 0686600,2001,0.761904762
MB 0686700,2001,0.888888889
MB 0686800,2001,0.541666667
MB 0686900,2001,0.636363636
MB 0687001,2001,0.115384615
MB 0687002,2001,0.8
MB 0687003,2001,0.571428571
MB 0687004,2001,1
MB 0687005,2001,#VALUE!
MB 0687101,2001,0.777777778
MB 0687102,2001,0.833333333
MB 0687200,2001,0.636363636
MB 0687300,2001,0.75
MB 0687401,2001,0.75
MB 0687402,2001,1
MB 0687500,2001,0.7
MB 0687600,2001,0.722222222
MB 0687700,2001,0.722222222
MB 0687801,2001,0.740740741
MB 0687802,2001,1
MB 0687900,2001,0.733333333
MB 0688000,2001,0.8125
MB 0688101,2001,0.862068966
MB 0688102,2001,0.727272727
MB 0688200,2001,0.8
MB 0688300,2001,0.8
MB 0688400,2001,0.684210526
MB 0688500,2001,0.875
MB 0688600,2001,0.733333333
MB 0688700,2001,0.8
MB 0688800,2001,0.8
MB 0688900,2001,0.846153846
MB 0689000,2001,0.785714286
MB 0689100,2001,1
MB 0689200,2001,0.8
MB 0689300,2001,0.684210526
MB 0689400,2001,0.833333333
MB 0689500,2001,0.727272727
MB 0689600,2001,0.857142857
MB 0689700,2001,0.736842105
MB 0689800,2001,0.722222222
MB 0689900,2001,0.909090909
MB 0690000,2001,0.842105263
MB 0690100,2001,0.80952381
MB 0690200,2001,0.8
MB 0690300,2001,0.789473684
MB 0690400,2001,0.545454545
MB 0690500,2001,0.80952381
MB 0690600,2001,0.615384615
MB 0690700,2001,0.592592593
MB 0690800,2001,0.6
MB 0690900,2001,0.5625
MB 0691000,2001,0.692307692
MB 0691101,2001,0.714285714
MB 0691102,2001,0.833333333
MB 0691103,2001,0.714285714
MB 0691104,2001,0.5
MB 0691201,2001,0.777777778
MB 0691202,2001,0.714285714
MB 0691203,2001,0.75
MB 0691300,2001,0.681818182
MB 0691400,2001,0.8125
MB 0691500,2001,0.75
MB 0691600,2001,0.846153846
MB 0691700,2001,0.714285714
MB 0691800,2001,0.846153846
MB 0691900,2001,0.666666667
MB 0692000,2001,0.846153846
MB 0692100,2001,0.75
MB 0692201,2001,0.833333333
MB 0692202,2001,0.833333333
MB 0692301,2001,0.857142857
MB 0692302,2001,0.846153846
MB 0692400,2001,0.941176471
MB 0692500,2001,1
MB 0692600,2001,0.857142857
MB 0692700,2001,0.846153846
MB 0692801,2001,0.75
MB 0692802,2001,0.875
MB 0692803,2001,1
MB 0692804,2001,0.8
MB 0692805,2001,0.75
MB 0692900,2001,0.789473684
MB 0693001,2001,0.888888889
MB 0693002,2001,0.666666667
MB 0693003,2001,0.666666667
MB 0693004,2001,0.6
MB 0693100,2001,0.727272727
MB 0693200,2001,0.785714286
MB 0693300,2001,0.588235294
MB 0693400,2001,0.75
MB 0693500,2001,0.789473684
MB 0693600,2001,0.730769231
MB 0693700,2001,0.846153846
MB 0693801,2001,0.875
MB 0693802,2001,0.857142857
MB 0693803,2001,0.75
MB 0693900,2001,0.8125
MB 0694000,2001,0.866666667
MB 0694100,2001,0.703703704
MB 0694200,2001,0.818181818
MB 0694300,2001,0.733333333
MB 0694400,2001,0.882352941
MB 0694501,2001,0.913043478
MB 0694502,2001,0.631578947
MB 0694503,2001,1
MB 0694600,2001,0.666666667
MB 0694700,2001,0.545454545
MB 0694800,2001,0.655172414
MB 0694900,2001,1
MB 0695001,2001,0.941176471
MB 0695002,2001,0.769230769
MB 0695101,2001,1
MB 0695102,2001,0.6
MB 0695200,2001,0.65
MB 0695300,2001,1
MB 0695400,2001,0.823529412
MB 0695500,2001,0.684210526
MB 0695600,2001,0.625
MB 0695700,2001,0.8
MB 0695800,2001,0.785714286
MB 0695900,2001,0.7
MB 0696000,2001,0.666666667
MB 0696101,2001,#VALUE!
MB 0696102,2001,0.823529412
MB 0696200,2001,0.857142857
MB 0696301,2001,0.833333333
MB 0696302,2001,1
MB 0696400,2001,0.571428571
MB 0696500,2001,0.666666667
MB 0696600,2001,0.5
MB 0696701,2001,#VALUE!
MB 0696702,2001,0.75
MB 0696801,2001,#VALUE!
MB 0696804,2001,0.857142857
MB 0696805,2001,0.9
MB 0696806,2001,0.666666667
MB 0696807,2001,1
MB 0696808,2001,0.625
MB 0696809,2001,#VALUE!
MB 0696900,2001,#VALUE!
MB 0697000,2001,#VALUE!
MB 0697100,2001,#VALUE!
MB 0697200,2001,0.666666667
MB 0697300,2001,0.714285714
MB 0697400,2001,0.857142857
MB 0697500,2001,0.7
MB 0697600,2001,0.75
MB 0697700,2001,0.714285714
MB 0697800,2001,0.75
MB 0697900,2001,0.625
MB 0698000,2001,0.857142857
MB 0698100,2001,0.818181818
MB 0698200,2001,0.75
MB 0698300,2001,0.5
MB 0698400,2001,0.5
MB 0698500,2001,0.5
MB 0698600,2001,0.8
MB 0698700,2001,0.545454545
MB 0698800,2001,0.714285714
MB 0698900,2001,0.857142857
MB 0699000,2001,0.714285714
MB 0699100,2001,0.692307692
MB 0699200,2001,0.555555556
MB 0699300,2001,0.5
MB 0699400,2001,0.8
MB 0699500,2001,0.6
MB 0699600,2001,0.875
MB 0699700,2001,0.75
MB 0699800,2001,1
MB 0699900,2001,0.4
MB 0700000,2001,0.666666667
MB 0700100,2001,0.666666667
MB 0700200,2001,0.5
MB 0700300,2001,0.6
MB 0700400,2001,0.571428571
MB 0700500,2001,0.75
MB 0700601,2001,0.714285714
MB 0700602,2001,0.3
MB 0700700,2001,#VALUE!
MB 0700800,2001,0.6
MB 0700900,2001,0.7
MB 0701000,2001,0.8
MB 0701100,2001,0.5
MB 0701201,2001,1
MB 0701202,2001,1
MB 0701300,2001,0.5
MB 0701400,2001,0.6
MB 0701500,2001,0.5
MB 0701600,2001,0.6
MB 0701700,2001,0.818181818
MB 0701800,2001,0.538461538
MB 0701900,2001,0.384615385
MB 0702000,2001,0.636363636
MB 0702100,2001,1
MB 0702201,2001,#VALUE!
MB 0702202,2001,#VALUE!
MB 0702300,2001,0.666666667
MB 0702401,2001,#VALUE!
MB 0702402,2001,0.75
MB 0702500,2001,0.888888889
MB 0702600,2001,0.777777778
MB 0702700,2001,0.625
MB 0702800,2001,0.833333333
MB 0702900,2001,0.75
MB 0703000,2001,0.7
MB 0703100,2001,0.7
MB 0703200,2001,0.714285714
MB 0703300,2001,0.5
MB 0703400,2001,0.8
MB 0703500,2001,0.833333333
MB 0703600,2001,0.727272727
MB 0703700,2001,0.727272727
MB 0703800,2001,0.636363636
MB 0703900,2001,0.75
MB 0704000,2001,0.625
MB 0704100,2001,0.625
MB 0704200,2001,0.666666667
MB 0704300,2001,0.571428571
MB 0704400,2001,0.555555556
MB 0704501,2001,#VALUE!
MB 0704502,2001,1
MB 0704600,2001,0.75
MB 0704700,2001,0.8
MB 0704800,2001,0.6
MB 0704900,2001,0.8
MB 0705000,2001,0.5
MB 0705100,2001,0.857142857
MB 0705200,2001,0.714285714
MB 0705300,2001,0.888888889
MB 0705400,2001,0.857142857
MB 0705500,2001,0.8
MB 0705600,2001,0.571428571
MB 0705700,2001,0.666666667
MB 0705800,2001,0.714285714
MB 0705900,2001,0.6
MB 0706000,2001,0.571428571
MB 0706100,2001,0.7
MB 0706201,2001,0.666666667
MB 0706202,2001,1
MB 0706300,2001,0.75
MB 0706400,2001,0.75
MB 0706500,2001,0.714285714
MB 0706600,2001,0.666666667
MB 0706700,2001,0.818181818
MB 0706800,2001,0.888888889
MB 0706900,2001,0.75
MB 0707000,2001,0.444444444
MB 0707100,2001,0.8
MB 0707200,2001,0.583333333
MB 0707300,2001,0.846153846
MB 0707400,2001,0.75
MB 0707500,2001,0.6
MB 0707600,2001,0.714285714
MB 0707700,2001,0.571428571
MB 0707800,2001,0.625
MB 0707900,2001,0.714285714
MB 0708000,2001,0.625
MB 0708100,2001,0.7
MB 0708200,2001,0.785714286
MB 0708300,2001,0.666666667
MB 0708400,2001,0.666666667
MB 0708500,2001,0.238095238
MB 0708600,2001,0.636363636
MB 0708700,2001,0.777777778
MB 0708800,2001,0.666666667
MB 0708900,2001,0.714285714
MB 0709000,2001,0.636363636
MB 0709100,2001,0.625
MB 0709200,2001,0.714285714
MB 0709300,2001,0.764705882
MB 0709400,2001,0.833333333
MB 0709500,2001,0.8
MB 0709600,2001,0.714285714
MB 0709700,2001,0.666666667
MB 0709800,2001,0.875
MB 0709900,2001,0.857142857
MB 0710000,2001,0.666666667
MB 0710100,2001,0.6
MB 0710200,2001,0.777777778
MB 0710300,2001,0.714285714
MB 0710400,2001,0.555555556
MB 0710510,2001,0.866666667
MB 0710511,2001,1
MB 0710512,2001,0.892857143
MB 0710515,2001,0.866666667
MB 0710516,2001,0.833333333
MB 0710517,2001,0.933333333
MB 0710518,2001,0.727272727
MB 0710519,2001,0.851851852
MB 0710520,2001,0.666666667
MB 0710521,2001,0.875
MB 0710522,2001,0.714285714
MB 0710523,2001,0.769230769
MB 0710524,2001,0.769230769
MB 0710525,2001,0.923076923
MB 0710526,2001,0.888888889
MB 0710527,2001,#VALUE!
MB 0710528,2001,0.75
MB 0710529,2001,0.5
MB 0710530,2001,0.75
MB 0710531,2001,0.714285714
MB 0710532,2001,0.875
MB 0710533,2001,1
MB 0710534,2001,0.666666667
MB 0710601,2001,0.793103448
MB 0710602,2001,0.826086957
MB 0710700,2001,0.833333333
MB 0710801,2001,0.941176471
MB 0710803,2001,0.875
MB 0710804,2001,0.882352941
MB 0710902,2001,1
MB 0710903,2001,0.888888889
MB 0710904,2001,0.666666667
MB 0710905,2001,0.684210526
MB 0711005,2001,0.789473684
MB 0711007,2001,0.84
MB 0711008,2001,0.857142857
MB 0711009,2001,0.818181818
MB 0711010,2001,0.814814815
MB 0711014,2001,0.733333333
MB 0711015,2001,0.894736842
MB 0711018,2001,0.92
MB 0711019,2001,0.833333333
MB 0711020,2001,0.9
MB 0711021,2001,0.761904762
MB 0711022,2001,0.85
MB 0711023,2001,#VALUE!
MB 0711024,2001,0.818181818
MB 0711025,2001,0.8125
MB 0711026,2001,0.818181818
MB 0711027,2001,0.9
MB 0711028,2001,1.2
MB 0711029,2001,0.923076923
MB 0711030,2001,0.782608696
MB 0711031,2001,0.833333333
MB 0711032,2001,0.666666667
MB 0711033,2001,0.909090909
MB 0711034,2001,0.909090909
MB 0711035,2001,0.916666667
MB 0711114,2001,0.818181818
MB 0711117,2001,0.9
MB 0711122,2001,0.782608696
MB 0711129,2001,0.869565217
MB 0711131,2001,0.857142857
MB 0711133,2001,0.791666667
MB 0711137,2001,0.941176471
MB 0711138,2001,0.954545455
MB 0711139,2001,#VALUE!
MB 0711141,2001,1
MB 0711144,2001,0.857142857
MB 0711145,2001,0.944444444
MB 0711147,2001,0.826086957
MB 0711148,2001,0.75
MB 0711149,2001,0.823529412
MB 0711151,2001,0.842105263
MB 0711152,2001,0.785714286
MB 0711153,2001,0.789473684
MB 0711154,2001,0.75
MB 0711155,2001,1
MB 0711156,2001,0.818181818
MB 0711157,2001,0.727272727
MB 0711158,2001,0.916666667
MB 0711159,2001,0.7
MB 0711160,2001,0.9375
MB 0711161,2001,0.785714286
MB 0711162,2001,0.916666667
MB 0711163,2001,0.777777778
MB 0711164,2001,0.909090909
MB 0711165,2001,1
MB 0711166,2001,0.75
MB 0711167,2001,0.875
MB 0711168,2001,0.875
MB 0711169,2001,0.933333333
MB 0711170,2001,0.9
MB 0711171,2001,0.833333333
MB 0711172,2001,0.833333333
MB 0711173,2001,0.904761905
MB 0711174,2001,0.846153846
MB 0711175,2001,0.863636364
MB 0711176,2001,0.869565217
MB 0711177,2001,0.882352941
MB 0711178,2001,#VALUE!
MB 0711179,2001,1
MB 0711180,2001,#VALUE!
MB 0711181,2001,#VALUE!
MB 0711182,2001,#VALUE!
MB 0711183,2001,1
MB 0711184,2001,0.714285714
MB 0711185,2001,#VALUE!
MB 0711186,2001,0.777777778
MB 0711187,2001,0.666666667
MB 0711188,2001,0.888888889
MB 0711189,2001,#VALUE!
MB 0711190,2001,#VALUE!
MB 0711191,2001,1
MB 0711192,2001,0.777777778
MB 0711193,2001,0.888888889
MB 0711194,2001,1.166666667
MB 0711195,2001,0.75
MB 0711196,2001,1
MB 0711197,2001,0.909090909
MB 0711200,2001,#VALUE!
MB 0711301,2001,#VALUE!
MB 0711302,2001,#VALUE!
MB 0711402,2001,0.72
MB 0711403,2001,0.76
MB 0711404,2001,#VALUE!
MB 0711405,2001,#VALUE!
MB 0711406,2001,0.703703704
MB 0711408,2001,0.727272727
MB 0711410,2001,0.75
MB 0711411,2001,0.666666667
MB 0711412,2001,0.75
MB 0711413,2001,0.882352941
MB 0711414,2001,0.764705882
MB 0711500,2001,#VALUE!
MB 0711600,2001,#VALUE!
MB 0711701,2001,#VALUE!
MB 0711702,2001,#VALUE!
MB 0711703,2001,#VALUE!
MB 0711704,2001,0.866666667
MB 0711705,2001,0.818181818
MB 0711706,2001,0.823529412
MB 0711709,2001,#VALUE!
MB 0711715,2001,0.6
MB 0711716,2001,#VALUE!
MB 0711717,2001,0.7
MB 0711718,2001,#VALUE!
MB 0711719,2001,#VALUE!
MB 0711720,2001,#VALUE!
MB 0711721,2001,#VALUE!
MB 0711722,2001,#VALUE!
MB 0711723,2001,#VALUE!
MB 0711724,2001,#VALUE!
MB 0711725,2001,#VALUE!
MB 0711727,2001,#VALUE!
MB 0711728,2001,#VALUE!
MB 0711729,2001,#VALUE!
MB 0711730,2001,#VALUE!
MB 0711731,2001,0.769230769
MB 0711732,2001,0.9
MB 0711733,2001,0.533333333
MB 0711734,2001,0.75
MB 0711735,2001,0.466666667
MB 0711736,2001,0.818181818
MB 0711737,2001,0.777777778
MB 0711738,2001,0.714285714
MB 0711739,2001,0.8
MB 0711740,2001,0.777777778
MB 0711741,2001,#VALUE!
MB 0711742,2001,#VALUE!
MB 0711743,2001,#VALUE!
MB 0711801,2001,#VALUE!
MB 0711804,2001,#VALUE!
MB 0711805,2001,#VALUE!
MB 0711806,2001,#VALUE!
MB 0711807,2001,#VALUE!
MB 0711808,2001,#VALUE!
MB 0711809,2001,#VALUE!
MB 0711810,2001,#VALUE!
MB 0711811,2001,#VALUE!
MB 0711812,2001,#VALUE!
MB 0711813,2001,#VALUE!
MB 0711814,2001,#VALUE!
MB 0711815,2001,#VALUE!
MB 0711816,2001,#VALUE!
MB 0711817,2001,#VALUE!
MB 0711818,2001,#VALUE!
MB 0711819,2001,#VALUE!
MB 0711901,2001,#VALUE!
MB 0711902,2001,#VALUE!
MB 0711904,2001,#VALUE!
MB 0711905,2001,#VALUE!
MB 0711906,2001,#VALUE!
MB 0711907,2001,#VALUE!
MB 0711908,2001,#VALUE!
MB 0711909,2001,#VALUE!
MB 0711910,2001,#VALUE!
MB 0711911,2001,#VALUE!
MB 0711912,2001,#VALUE!
MB 0712001,2001,0.8
MB 0712002,2001,0.92
MB 0712005,2001,0.866666667
MB 0712006,2001,0.85
MB 0712007,2001,0.823529412
MB 0712008,2001,0.95
MB 0712009,2001,0.80952381
MB 0712010,2001,0.8
MB 0712011,2001,0.833333333
MB 0712012,2001,0.857142857
MB 0712013,2001,0.863636364
MB 0712014,2001,0.777777778
MB 0712015,2001,0.823529412
MB 0712016,2001,0.875
MB 0712017,2001,0.857142857
MB 0712019,2001,0.818181818
MB 0712020,2001,0.888888889
MB 0712021,2001,0.882352941
MB 0712022,2001,0.941176471
MB 0712025,2001,0.8125
MB 0712026,2001,0.888888889
MB 0712027,2001,0.857142857
MB 0712028,2001,0.857142857
MB 0712029,2001,0.875
MB 0712030,2001,1
MB 0712031,2001,#VALUE!
MB 0712032,2001,#VALUE!
MB 0712033,2001,1
MB 0712034,2001,0.9
MB 0712035,2001,1
MB 0712036,2001,0.923076923
MB 0712037,2001,0.875
MB 0712038,2001,#VALUE!
MB 0712039,2001,#VALUE!
MB 0712101,2001,#VALUE!
MB 0712102,2001,#VALUE!
MB 0712104,2001,#VALUE!
MB 0712105,2001,0.8125
MB 0712106,2001,#VALUE!
MB 0712107,2001,#VALUE!
MB 0712108,2001,#VALUE!
MB 0712110,2001,#VALUE!
MB 0712111,2001,0.833333333
MB 0712112,2001,#VALUE!
MB 0712113,2001,#VALUE!
MB 0712114,2001,#VALUE!
MB 0712118,2001,#VALUE!
MB 0712119,2001,#VALUE!
MB 0712120,2001,#VALUE!
MB 0712121,2001,#VALUE!
MB 0712122,2001,#VALUE!
MB 0712123,2001,#VALUE!
MB 0712124,2001,#VALUE!
MB 0712125,2001,#VALUE!
MB 0712126,2001,#VALUE!
MB 0712127,2001,#VALUE!
MB 0712128,2001,#VALUE!
MB 0712129,2001,#VALUE!
MB 0712130,2001,#VALUE!
MB 0712131,2001,#VALUE!
MB 0712132,2001,#VALUE!
MB 0712133,2001,#VALUE!
MB 0712134,2001,#VALUE!
MB 0712135,2001,#VALUE!
MB 0712136,2001,#VALUE!
MB 0712201,2001,#VALUE!
MB 0712203,2001,0.714285714
MB 0712204,2001,#VALUE!
MB 0712205,2001,#VALUE!
MB 0712206,2001,0.666666667
MB 0712207,2001,#VALUE!
MB 0712208,2001,#VALUE!
MB 0712209,2001,#VALUE!
MB 0712210,2001,#VALUE!
MB 0712211,2001,#VALUE!
MB 0712212,2001,#VALUE!
MB 0712213,2001,#VALUE!
MB 0712214,2001,#VALUE!
MB 0712215,2001,#VALUE!
MB 0712216,2001,#VALUE!
MB 0712217,2001,#VALUE!
MB 0712218,2001,#VALUE!
MB 0712219,2001,#VALUE!
MB 0712220,2001,#VALUE!
MB 0712221,2001,#VALUE!
MB 0712222,2001,#VALUE!
MB 0712223,2001,#VALUE!
MB 0712224,2001,#VALUE!
MB 0712225,2001,#VALUE!
MB 0712226,2001,#VALUE!
MB 0712227,2001,#VALUE!
MB 0712228,2001,#VALUE!
MB 0712229,2001,#VALUE!
MB 0712230,2001,#VALUE!
MB 0712231,2001,#VALUE!
MB 0712232,2001,#VALUE!
MB 0712302,2001,#VALUE!
MB 0712303,2001,#VALUE!
