Meshblock (2013 Areas),Year,2001 proportion single family households
MB 0145000,2001,0.846153846
MB 0145100,2001,0.714285714
MB 0145200,2001,0.727272727
MB 0145300,2001,0.833333333
MB 0145400,2001,0.785714286
MB 0145500,2001,0.846153846
MB 0145600,2001,0.857142857
MB 0145700,2001,0.75
MB 0145800,2001,0.857142857
MB 0145900,2001,0.833333333
MB 0146002,2001,0.833333333
MB 0146003,2001,0.75
MB 0146004,2001,1
MB 0146005,2001,1
MB 0146101,2001,0.75
MB 0146102,2001,1.5
MB 0146103,2001,1
MB 0146104,2001,0.833333333
MB 0146105,2001,#VALUE!
MB 0146200,2001,0.666666667
MB 0146300,2001,0.722222222
MB 0146400,2001,0.666666667
MB 0146500,2001,0.714285714
MB 0146600,2001,0.7
MB 0146701,2001,0.857142857
MB 0146702,2001,1
MB 0146703,2001,0.8
MB 0146704,2001,#VALUE!
MB 0146705,2001,0.75
MB 0146800,2001,0.733333333
MB 0146901,2001,0.65
MB 0146902,2001,0.75
MB 0147000,2001,0.714285714
MB 0147101,2001,#VALUE!
MB 0147104,2001,#VALUE!
MB 0147106,2001,0.818181818
MB 0147107,2001,0.7
MB 0147108,2001,0.769230769
MB 0147109,2001,0.666666667
MB 0147110,2001,#VALUE!
MB 0147206,2001,#VALUE!
MB 0147208,2001,#VALUE!
MB 0147209,2001,#VALUE!
MB 0147211,2001,#VALUE!
MB 0147212,2001,#VALUE!
MB 0147213,2001,#VALUE!
MB 0147214,2001,#VALUE!
MB 0147215,2001,#VALUE!
MB 0147216,2001,#VALUE!
MB 0147314,2001,#VALUE!
MB 0147315,2001,#VALUE!
MB 0147316,2001,#VALUE!
MB 0147317,2001,#VALUE!
MB 0147320,2001,#VALUE!
MB 0147322,2001,#VALUE!
MB 0147323,2001,#VALUE!
MB 0147324,2001,#VALUE!
MB 0147400,2001,0.769230769
MB 0147500,2001,0.947368421
MB 0147600,2001,0.8125
MB 0147700,2001,0.818181818
MB 0147800,2001,0.8
MB 0147900,2001,0.8
MB 0148000,2001,0.75
MB 0148100,2001,1.333333333
MB 0148201,2001,0.727272727
MB 0148202,2001,#VALUE!
MB 0148301,2001,0.75
MB 0148302,2001,1
MB 0148400,2001,0.909090909
MB 0148500,2001,0.722222222
MB 0148601,2001,0.75
MB 0148602,2001,0.888888889
MB 0148603,2001,#VALUE!
MB 0148701,2001,#VALUE!
MB 0148703,2001,0.6
MB 0148704,2001,1
MB 0148705,2001,0.666666667
MB 0148706,2001,0.666666667
MB 0148707,2001,0.5
MB 0148801,2001,#VALUE!
MB 0148802,2001,0.8
MB 0148900,2001,0.7
MB 0149000,2001,0.785714286
MB 0149100,2001,0.846153846
MB 0149200,2001,0.75
MB 0149300,2001,0.769230769
MB 0149400,2001,0.8125
MB 0149500,2001,0.733333333
MB 0149600,2001,0.75
MB 0149700,2001,0.818181818
MB 0149800,2001,0.666666667
MB 0149900,2001,0.608695652
MB 0150000,2001,0.8
MB 0150103,2001,0.6
MB 0150104,2001,#VALUE!
MB 0150105,2001,1
MB 0150106,2001,0.8
MB 0150107,2001,0.666666667
MB 0150200,2001,0.818181818
MB 0150300,2001,0.777777778
MB 0150400,2001,0.722222222
MB 0150500,2001,1
MB 0150600,2001,0.833333333
MB 0150700,2001,0.888888889
MB 0150801,2001,1
MB 0150802,2001,0.833333333
MB 0150900,2001,0.733333333
MB 0151000,2001,0.785714286
MB 0151101,2001,0.375
MB 0151103,2001,0.75
MB 0151104,2001,#VALUE!
MB 0151201,2001,0.75
MB 0151202,2001,1
MB 0151300,2001,0.714285714
MB 0151400,2001,0.894736842
MB 0151500,2001,0.823529412
MB 0151601,2001,1
MB 0151602,2001,0.5
MB 0151603,2001,0.833333333
MB 0151700,2001,0.714285714
MB 0151800,2001,0.857142857
MB 0151900,2001,0.666666667
MB 0152000,2001,0.272727273
MB 0152100,2001,0.8
MB 0152200,2001,0.733333333
MB 0152300,2001,0.75
MB 0152400,2001,0.833333333
MB 0152500,2001,0.789473684
MB 0152600,2001,0.761904762
MB 0152700,2001,0.714285714
MB 0152800,2001,0.846153846
MB 0152900,2001,0.827586207
MB 0153000,2001,0.84375
MB 0153100,2001,0.75
MB 0153200,2001,0.888888889
MB 0153300,2001,0.9
MB 0153400,2001,0.777777778
MB 0153500,2001,0.789473684
MB 0153600,2001,0.736842105
MB 0153700,2001,0.666666667
MB 0153800,2001,0.857142857
MB 0153902,2001,0.714285714
MB 0153903,2001,1
MB 0153904,2001,#VALUE!
MB 0154001,2001,0.833333333
MB 0154002,2001,0.8
MB 0154100,2001,0.823529412
MB 0154201,2001,0.833333333
MB 0154202,2001,0.833333333
MB 0154300,2001,0.818181818
MB 0154400,2001,0.8
MB 0154500,2001,0.777777778
MB 0154600,2001,0.8
MB 0154700,2001,0.818181818
MB 0154800,2001,0.6
MB 0154900,2001,0.818181818
MB 0155000,2001,0.8125
MB 0155100,2001,0.8
MB 0155200,2001,0.928571429
MB 0155300,2001,0.769230769
MB 0155400,2001,0.75
MB 0155500,2001,0.846153846
MB 0155601,2001,0.75
MB 0155602,2001,0.666666667
MB 0155604,2001,0.782608696
MB 0155605,2001,1
MB 0155701,2001,0.6875
MB 0155704,2001,0.8
MB 0155705,2001,#VALUE!
MB 0155706,2001,0.875
MB 0155707,2001,1
MB 0155708,2001,1
MB 0155709,2001,1
MB 0155801,2001,0.928571429
MB 0155802,2001,0.75
MB 0155901,2001,0.785714286
MB 0155902,2001,1
MB 0156001,2001,0.8
MB 0156002,2001,0.714285714
MB 0156101,2001,0.777777778
MB 0156102,2001,0.666666667
MB 0156200,2001,0.714285714
MB 0156301,2001,0.666666667
MB 0156302,2001,0.833333333
MB 0156303,2001,0.896551724
MB 0156304,2001,0.842105263
MB 0156401,2001,0.782608696
MB 0156402,2001,0.8
MB 0156403,2001,0.8
MB 0156502,2001,0.545454545
MB 0156503,2001,1
MB 0156505,2001,#VALUE!
MB 0156506,2001,0.545454545
MB 0156507,2001,0.615384615
MB 0156601,2001,0.888888889
MB 0156602,2001,1
MB 0156701,2001,0.75
MB 0156702,2001,0.857142857
MB 0156800,2001,0.8125
MB 0156900,2001,0.6875
MB 0157000,2001,0.764705882
MB 0157100,2001,0.75
MB 0157201,2001,0.8
MB 0157202,2001,1
MB 0157203,2001,1
MB 0157300,2001,0.647058824
MB 0157400,2001,0.772727273
MB 0157500,2001,0.842105263
MB 0157600,2001,0.681818182
MB 0157700,2001,0.736842105
MB 0157800,2001,0.666666667
MB 0157900,2001,0.6
MB 0158000,2001,0.75
MB 0158100,2001,0.875
MB 0158200,2001,0.75
MB 0158300,2001,0.625
MB 0158400,2001,0.714285714
MB 0158501,2001,0.833333333
MB 0158502,2001,0.705882353
MB 0158600,2001,0.7
MB 0158701,2001,0.863636364
MB 0158702,2001,0.777777778
MB 0158705,2001,0.941176471
MB 0158706,2001,0.866666667
MB 0158707,2001,0.9375
MB 0158708,2001,0.909090909
MB 0158801,2001,0.75862069
MB 0158804,2001,0.846153846
MB 0158805,2001,0.769230769
MB 0158806,2001,0.888888889
MB 0158807,2001,0.8
MB 0158808,2001,0.714285714
MB 0158903,2001,0.789473684
MB 0158904,2001,0.882352941
MB 0158905,2001,0.666666667
MB 0158906,2001,1
MB 0158907,2001,1
MB 0158908,2001,1.5
MB 0158909,2001,#VALUE!
MB 0159002,2001,0.866666667
MB 0159003,2001,0.863636364
MB 0159004,2001,0.8
MB 0159100,2001,1
MB 0159201,2001,0.8
MB 0159202,2001,0.75
MB 0159203,2001,0.833333333
MB 0159204,2001,0.6
MB 0159205,2001,0.833333333
MB 0159300,2001,0.769230769
MB 0159400,2001,0.833333333
MB 0159501,2001,0.714285714
MB 0159502,2001,0.714285714
MB 0159601,2001,0.777777778
MB 0159602,2001,0.857142857
MB 0159700,2001,0.923076923
MB 0159801,2001,0.833333333
MB 0159802,2001,0.6
MB 0159900,2001,0.727272727
MB 0160000,2001,0.705882353
MB 0160100,2001,0.75
MB 0160201,2001,0.8
MB 0160202,2001,0.75
MB 0160301,2001,0.833333333
MB 0160302,2001,0.666666667
MB 0160401,2001,0.818181818
MB 0160403,2001,0.6875
MB 0160404,2001,0.9
MB 0160405,2001,0.833333333
MB 0160500,2001,0.76
MB 0160600,2001,0.821428571
MB 0160700,2001,0.785714286
MB 0160800,2001,#VALUE!
MB 0160900,2001,#VALUE!
MB 0161000,2001,#VALUE!
MB 0161100,2001,#VALUE!
MB 0161200,2001,0.6
MB 0161300,2001,0.473684211
MB 0161400,2001,0.28
MB 0161500,2001,#VALUE!
MB 0161600,2001,0.4
MB 0161701,2001,0.692307692
MB 0161702,2001,0.666666667
MB 0161800,2001,0.7
MB 0161900,2001,0.846153846
MB 0162000,2001,0.620689655
MB 0162100,2001,0.84
MB 0162200,2001,0.727272727
MB 0162300,2001,#VALUE!
MB 0162400,2001,0.454545455
MB 0162501,2001,0.608695652
MB 0162502,2001,0.692307692
MB 0162600,2001,0.722222222
MB 0162700,2001,0.75
MB 0162800,2001,0.727272727
MB 0162900,2001,0.8
MB 0163000,2001,0.764705882
MB 0163100,2001,0.869565217
MB 0163200,2001,0.818181818
MB 0163300,2001,0.75
MB 0163400,2001,0.714285714
MB 0163500,2001,0.705882353
MB 0163600,2001,0.833333333
MB 0163700,2001,0.714285714
MB 0163800,2001,0.888888889
MB 0163902,2001,0.8
MB 0163903,2001,0.833333333
MB 0163904,2001,0.8
MB 0163905,2001,0.857142857
MB 0164001,2001,0.846153846
MB 0164002,2001,0.857142857
MB 0164003,2001,0.727272727
MB 0164101,2001,0.80952381
MB 0164102,2001,0.733333333
MB 0164201,2001,1
MB 0164202,2001,0.933333333
MB 0164203,2001,0.823529412
MB 0164300,2001,0.769230769
MB 0164400,2001,0.894736842
MB 0164501,2001,0.8
MB 0164502,2001,0.777777778
MB 0164600,2001,1
MB 0164700,2001,0.866666667
MB 0164800,2001,0.772727273
MB 0164900,2001,0.8
MB 0165000,2001,0.785714286
MB 0165100,2001,0.6875
MB 0165200,2001,0.761904762
MB 0165300,2001,0.769230769
MB 0165400,2001,0.65
MB 0165500,2001,0.8125
MB 0165602,2001,0.666666667
MB 0165604,2001,0.769230769
MB 0165605,2001,0.888888889
MB 0165606,2001,0.875
MB 0165607,2001,0.833333333
MB 0165608,2001,0.714285714
MB 0165609,2001,0.875
MB 0165700,2001,0.857142857
MB 0165801,2001,1
MB 0165805,2001,0.9
MB 0165806,2001,0.75
MB 0165807,2001,0.823529412
MB 0165808,2001,0.75
MB 0165809,2001,0.75
MB 0165810,2001,0.8
MB 0165811,2001,0.857142857
MB 0165900,2001,0.88
MB 0166000,2001,0.8
MB 0166102,2001,0.8125
MB 0166103,2001,0.8
MB 0166104,2001,0.826086957
MB 0166105,2001,0.928571429
MB 0166200,2001,0.8
MB 0166301,2001,0.875
MB 0166302,2001,0.5
MB 0166303,2001,0.857142857
MB 0166304,2001,0.857142857
MB 0166305,2001,0.75
MB 0166401,2001,0.842105263
MB 0166404,2001,0.966666667
MB 0166405,2001,1
MB 0166406,2001,0.833333333
MB 0166407,2001,1
MB 0166408,2001,1
MB 0166409,2001,0.875
MB 0166410,2001,1
MB 0166500,2001,0.75
MB 0166600,2001,0.769230769
MB 0166700,2001,0.8125
MB 0166800,2001,0.85
MB 0166901,2001,1
MB 0166902,2001,0.777777778
MB 0166903,2001,0.666666667
MB 0166904,2001,0.833333333
MB 0166905,2001,0.642857143
MB 0167000,2001,0.875
MB 0167100,2001,0.846153846
MB 0167201,2001,0.875
MB 0167202,2001,0.833333333
MB 0167301,2001,0.285714286
MB 0167302,2001,0.875
MB 0167303,2001,1
MB 0167400,2001,0.615384615
MB 0167500,2001,0.785714286
MB 0167601,2001,#VALUE!
MB 0167602,2001,0.857142857
MB 0167700,2001,0.75
MB 0167800,2001,0.769230769
MB 0167900,2001,0.571428571
MB 0168001,2001,0.823529412
MB 0168002,2001,0.666666667
MB 0168100,2001,0.789473684
MB 0168200,2001,0.666666667
MB 0168300,2001,0.769230769
MB 0168400,2001,0.647058824
MB 0168500,2001,0.769230769
MB 0168601,2001,0.857142857
MB 0168602,2001,1
MB 0168701,2001,0.714285714
MB 0168702,2001,1
MB 0168800,2001,1
MB 0168901,2001,0.777777778
MB 0168902,2001,0.827586207
MB 0169000,2001,0.625
MB 0169100,2001,0.692307692
MB 0169200,2001,0.833333333
MB 0169300,2001,0.636363636
MB 0169400,2001,0.733333333
MB 0169500,2001,0.555555556
MB 0169600,2001,0.75
MB 0169700,2001,0.714285714
MB 0169800,2001,0.888888889
MB 0169900,2001,0.909090909
MB 0170000,2001,0.75
MB 0170100,2001,0.785714286
