Meshblock,Year,Proprtion partnered,Proportion 1 or more children,Proportion with at least a bachelors degree,Median personal income 2001
MB 0141004,2001,0.5,NA,NA,13800
MB 0141005,2001,0.722222222,NA,NA,17500
MB 0141006,2001,0.647058824,NA,NA,17500
MB 0141007,2001,0.636363636,NA,NA,20800
MB 0141101,2001,0.638888889,NA,NA,14600
MB 0141102,2001,0.645833333,NA,NA,17100
MB 0141103,2001,0.388888889,NA,NA,27500
MB 0141200,2001,0.666666667,NA,NA,13800
MB 0141301,2001,0.733333333,NA,NA,18800
MB 0141302,2001,0.684210526,NA,NA,17500
MB 0141303,2001,0.785714286,NA,NA,17500
MB 0141304,2001,#VALUE!,NA,NA,..C
MB 0141305,2001,#VALUE!,NA,NA,..C
MB 0141306,2001,#VALUE!,NA,NA,..C
MB 0141307,2001,0.833333333,NA,NA,35000
MB 0141400,2001,0.611111111,NA,NA,15400
MB 0141503,2001,0.754716981,NA,NA,15200
MB 0141505,2001,0.766666667,NA,NA,13800
MB 0141506,2001,0.719298246,NA,NA,15400
MB 0141507,2001,0.793103448,NA,NA,14500
MB 0141508,2001,0.75,NA,NA,15400
MB 0141510,2001,0.78125,NA,NA,23800
MB 0141511,2001,0.742857143,NA,NA,14000
MB 0141512,2001,0.78125,NA,NA,15600
MB 0141513,2001,0.9,NA,NA,18800
MB 0141514,2001,0.666666667,NA,NA,27500
MB 0141515,2001,0.75,NA,NA,27500
MB 0141516,2001,#VALUE!,NA,NA,..C
MB 0141517,2001,0.75,NA,NA,31700
MB 0141518,2001,0.666666667,NA,NA,15800
MB 0141603,2001,0.718309859,NA,NA,13100
MB 0141605,2001,0.657142857,NA,NA,15600
MB 0141606,2001,0.64,NA,NA,15200
MB 0141607,2001,0.608695652,NA,NA,22500
MB 0141608,2001,0.68,NA,NA,14700
MB 0141705,2001,0.622222222,NA,NA,18000
MB 0141707,2001,0.833333333,NA,NA,14200
MB 0141708,2001,0.333333333,NA,NA,29200
MB 0141709,2001,0.8,NA,NA,17500
MB 0141710,2001,0.75,NA,NA,12500
MB 0141711,2001,0.727272727,NA,NA,13100
MB 0141712,2001,0.666666667,NA,NA,17500
MB 0141713,2001,0.842105263,NA,NA,13000
MB 0141714,2001,0.75,NA,NA,10600
MB 0141715,2001,0.5,NA,NA,20800
MB 0141716,2001,0.8,NA,NA,14400
MB 0141717,2001,0.916666667,NA,NA,15800
MB 0141718,2001,0.75,NA,NA,20800
MB 0141806,2001,0.8,NA,NA,22500
MB 0141807,2001,0.619047619,NA,NA,15400
MB 0141808,2001,0.588235294,NA,NA,11300
MB 0141809,2001,0.6,NA,NA,11300
MB 0141810,2001,#VALUE!,NA,NA,7500
MB 0141811,2001,0.6,NA,NA,12500
MB 0141812,2001,0.529411765,NA,NA,17900
MB 0141813,2001,0.75,NA,NA,29200
MB 0141814,2001,0.818181818,NA,NA,17500
MB 0141815,2001,0.714285714,NA,NA,15800
MB 0141816,2001,0.5,NA,NA,17500
MB 0141901,2001,#VALUE!,NA,NA,..C
MB 0141902,2001,0.785714286,NA,NA,19500
MB 0142000,2001,#VALUE!,NA,NA,..C
MB 0142100,2001,0.692307692,NA,NA,13000
MB 0142200,2001,0.413793103,NA,NA,16300
MB 0142300,2001,0.724137931,NA,NA,15400
MB 0142400,2001,0.612903226,NA,NA,15200
MB 0142500,2001,0.64,NA,NA,18800
MB 0142600,2001,0.571428571,NA,NA,18100
MB 0142700,2001,0.703703704,NA,NA,21900
MB 0142800,2001,0.655172414,NA,NA,18800
MB 0142900,2001,0.25,NA,NA,17500
MB 0143000,2001,0.5,NA,NA,15800
MB 0143100,2001,0.545454545,NA,NA,16700
MB 0143200,2001,0.542857143,NA,NA,15500
MB 0143300,2001,0.5,NA,NA,16000
MB 0143400,2001,0.6875,NA,NA,13800
MB 0143500,2001,0.611111111,NA,NA,15800
MB 0143600,2001,0.428571429,NA,NA,13300
MB 0143700,2001,0.363636364,NA,NA,14000
MB 0143800,2001,0.684210526,NA,NA,26300
MB 0143900,2001,0.583333333,NA,NA,11300
MB 0144000,2001,0.6,NA,NA,20800
MB 0144100,2001,0.575,NA,NA,18800
