Meshblock,Year,Proprtion partnered,Proportion 1 or more children,Proportion with at least a bachelors degree,Median personal income 2001
MB 0718402,2001,0.720930233,NA,NA,28100
MB 0718501,2001,0.8,NA,NA,26300
MB 0718502,2001,0.611111111,NA,NA,25400
MB 0718503,2001,0.777777778,NA,NA,25800
MB 0718504,2001,0.666666667,NA,NA,31700
MB 0718505,2001,0.666666667,NA,NA,20400
MB 0718506,2001,#VALUE!,NA,NA,..C
MB 0718507,2001,#VALUE!,NA,NA,..C
MB 0718508,2001,#VALUE!,NA,NA,..C
MB 0718509,2001,#VALUE!,NA,NA,..C
MB 0718510,2001,#VALUE!,NA,NA,..C
MB 0718511,2001,#VALUE!,NA,NA,..C
MB 0718601,2001,0.75,NA,NA,27500
MB 0718602,2001,0.785714286,NA,NA,25400
MB 0718603,2001,0.578947368,NA,NA,32000
MB 0718604,2001,0.705882353,NA,NA,22500
MB 0718605,2001,0.8,NA,NA,27500
MB 0718606,2001,0.714285714,NA,NA,17500
MB 0718607,2001,0.5,NA,NA,25400
MB 0718608,2001,0.333333333,NA,NA,35000
MB 0718700,2001,0.696969697,NA,NA,22500
MB 0718800,2001,0.777777778,NA,NA,28300
MB 0718900,2001,0.583333333,NA,NA,17500
MB 0719000,2001,#VALUE!,NA,NA,..C
MB 0719101,2001,0.666666667,NA,NA,20800
MB 0719102,2001,0.625,NA,NA,26300
MB 0719103,2001,0.666666667,NA,NA,28800
MB 0719104,2001,0.666666667,NA,NA,22500
MB 0719105,2001,0.538461538,NA,NA,15800
MB 0719106,2001,0.692307692,NA,NA,27500
MB 0719201,2001,0.711111111,NA,NA,19200
MB 0719203,2001,0.6,NA,NA,21700
MB 0719204,2001,0.692307692,NA,NA,21700
MB 0719205,2001,0.785714286,NA,NA,32500
MB 0719301,2001,0.736842105,NA,NA,25200
MB 0719302,2001,0.692307692,NA,NA,31700
MB 0719303,2001,0.678571429,NA,NA,22500
MB 0719304,2001,0.75,NA,NA,25800
MB 0719400,2001,1,NA,NA,*
MB 0719500,2001,0.714285714,NA,NA,26300
MB 0719600,2001,0.735849057,NA,NA,24000
MB 0719701,2001,0.727272727,NA,NA,23800
MB 0719702,2001,0.75,NA,NA,22500
MB 0719703,2001,0.761904762,NA,NA,25400
MB 0719801,2001,0.717948718,NA,NA,25200
MB 0719802,2001,0.727272727,NA,NA,27500
MB 0719901,2001,0.65,NA,NA,25400
MB 0719902,2001,0.8,NA,NA,32500
MB 0719903,2001,0.769230769,NA,NA,23800
MB 0719904,2001,0.625,NA,NA,20800
MB 0719905,2001,0.740740741,NA,NA,26300
MB 0720000,2001,0.733333333,NA,NA,26700
MB 0720100,2001,0.8,NA,NA,25800
MB 0720200,2001,0.75,NA,NA,21700
MB 0720300,2001,0.694915254,NA,NA,28100
MB 0720401,2001,0.5,NA,NA,25400
MB 0720402,2001,0.568181818,NA,NA,26300
MB 0720500,2001,#VALUE!,NA,NA,..C
MB 0720600,2001,0.578947368,NA,NA,27500
MB 0720700,2001,0.58490566,NA,NA,25100
MB 0720800,2001,0.651162791,NA,NA,23800
MB 0720900,2001,0.679245283,NA,NA,23100
MB 0721000,2001,0.62962963,NA,NA,25400
MB 0721100,2001,0.56,NA,NA,15800
MB 0721200,2001,0.571428571,NA,NA,20800
MB 0721300,2001,0.615384615,NA,NA,18100
MB 0721400,2001,0.636363636,NA,NA,27500
MB 0721500,2001,0.576923077,NA,NA,23300
MB 0721600,2001,0.652173913,NA,NA,22500
MB 0721700,2001,0.696969697,NA,NA,25800
MB 0721800,2001,0.551724138,NA,NA,18300
MB 0721900,2001,0.350877193,NA,NA,13100
MB 0722000,2001,0.5,NA,NA,12500
MB 0722100,2001,0.464285714,NA,NA,15400
MB 0722201,2001,0.454545455,NA,NA,17500
MB 0722202,2001,0.538461538,NA,NA,20800
MB 0722203,2001,0.611111111,NA,NA,22500
MB 0722204,2001,0.4,NA,NA,20800
MB 0722301,2001,0.416666667,NA,NA,15300
MB 0722302,2001,0.5,NA,NA,18300
MB 0722400,2001,0.47826087,NA,NA,20400
MB 0722501,2001,0.6,NA,NA,25400
MB 0722502,2001,0.538461538,NA,NA,15800
MB 0722600,2001,0.606060606,NA,NA,25400
MB 0722700,2001,0.534883721,NA,NA,22500
MB 0722800,2001,0.736842105,NA,NA,17500
MB 0722900,2001,0.619047619,NA,NA,21300
MB 0723000,2001,0.666666667,NA,NA,20300
MB 0723100,2001,0.552631579,NA,NA,18300
MB 0723201,2001,0.647058824,NA,NA,22500
MB 0723202,2001,0.666666667,NA,NA,22500
MB 0723203,2001,0.444444444,NA,NA,17500
MB 0723300,2001,0.479166667,NA,NA,15600
MB 0723400,2001,0.7,NA,NA,25200
MB 0723500,2001,0.533333333,NA,NA,16300
MB 0723600,2001,0.644067797,NA,NA,26900
MB 0723701,2001,0.566666667,NA,NA,22500
MB 0723702,2001,0.571428571,NA,NA,27100
MB 0723800,2001,0.428571429,NA,NA,33300
MB 0723900,2001,0.416666667,NA,NA,20800
MB 0724000,2001,0.615384615,NA,NA,20800
MB 0724101,2001,0.571428571,NA,NA,22000
MB 0724102,2001,#VALUE!,NA,NA,..C
MB 0724200,2001,0.558139535,NA,NA,15300
MB 0724300,2001,0.592592593,NA,NA,17500
MB 0724401,2001,0.464285714,NA,NA,15300
MB 0724402,2001,0.5,NA,NA,30600
MB 0724500,2001,0.75,NA,NA,22500
MB 0724600,2001,0.56,NA,NA,21700
MB 0724700,2001,0.551724138,NA,NA,18800
MB 0724800,2001,0.594594595,NA,NA,20600
MB 0724900,2001,0.540540541,NA,NA,16700
MB 0725000,2001,0.636363636,NA,NA,17500
MB 0725100,2001,0.41509434,NA,NA,21000
MB 0725200,2001,0.739130435,NA,NA,24200
MB 0725300,2001,1,NA,NA,15800
MB 0725400,2001,0.689655172,NA,NA,17500
MB 0725500,2001,0.4375,NA,NA,17500
MB 0725601,2001,0.333333333,NA,NA,7500
MB 0725602,2001,0.5,NA,NA,15800
MB 0725700,2001,0.421052632,NA,NA,14200
MB 0725800,2001,0.527777778,NA,NA,18800
MB 0725900,2001,0.5,NA,NA,13300
MB 0726000,2001,0.5,NA,NA,33300
MB 0726101,2001,#VALUE!,NA,NA,..C
MB 0726102,2001,#VALUE!,NA,NA,..C
MB 0726200,2001,#VALUE!,NA,NA,..C
MB 0726300,2001,0.647058824,NA,NA,27500
MB 0726400,2001,0.666666667,NA,NA,2500
MB 0726500,2001,0.75,NA,NA,22500
MB 0726600,2001,#VALUE!,NA,NA,..C
MB 0726700,2001,#VALUE!,NA,NA,..C
MB 0726800,2001,1,NA,NA,18300
MB 0726900,2001,0.568181818,NA,NA,15500
MB 0727000,2001,0.6,NA,NA,17500
MB 0727100,2001,0.5,NA,NA,25400
MB 0727200,2001,0.5,NA,NA,15800
MB 0727300,2001,#VALUE!,NA,NA,..C
MB 0727400,2001,0.5,NA,NA,16900
MB 0727500,2001,0.634146341,NA,NA,20400
MB 0727600,2001,0.75,NA,NA,20800
MB 0727700,2001,#VALUE!,NA,NA,..C
MB 0727800,2001,#VALUE!,NA,NA,..C
MB 0727901,2001,0.615384615,NA,NA,8800
MB 0727902,2001,0.5,NA,NA,10800
MB 0727903,2001,0.571428571,NA,NA,17500
MB 0728001,2001,0.642857143,NA,NA,13800
MB 0728002,2001,0.516129032,NA,NA,15300
MB 0728101,2001,0.565217391,NA,NA,15300
MB 0728102,2001,0.363636364,NA,NA,12500
MB 0728200,2001,0.636363636,NA,NA,14300
MB 0728300,2001,0.625,NA,NA,23800
MB 0728400,2001,0.542857143,NA,NA,20600
MB 0728500,2001,0.666666667,NA,NA,17500
MB 0728605,2001,0.5,NA,NA,21300
MB 0728606,2001,0.571428571,NA,NA,10800
MB 0728607,2001,0.666666667,NA,NA,12500
MB 0728608,2001,#VALUE!,NA,NA,..C
MB 0728609,2001,#VALUE!,NA,NA,..C
MB 0728610,2001,#VALUE!,NA,NA,..C
MB 0728611,2001,#VALUE!,NA,NA,..C
MB 0728612,2001,#VALUE!,NA,NA,..C
MB 0728613,2001,#VALUE!,NA,NA,..C
MB 0728614,2001,#VALUE!,NA,NA,..C
MB 0728615,2001,#VALUE!,NA,NA,..C
MB 0728616,2001,#VALUE!,NA,NA,..C
MB 0728617,2001,#VALUE!,NA,NA,..C
MB 0728618,2001,#VALUE!,NA,NA,..C
MB 0728619,2001,#VALUE!,NA,NA,..C
MB 0728620,2001,0.5,NA,NA,41700
MB 0728621,2001,0.545454545,NA,NA,17500
MB 0728622,2001,#VALUE!,NA,NA,..C
MB 0728623,2001,#VALUE!,NA,NA,..C
MB 0728624,2001,0.666666667,NA,NA,42500
MB 0728625,2001,#VALUE!,NA,NA,..C
MB 0728626,2001,0,NA,NA,35000
MB 0728627,2001,#VALUE!,NA,NA,..C
MB 0728700,2001,0.488372093,NA,NA,13200
MB 0728801,2001,#VALUE!,NA,NA,..C
MB 0728802,2001,#VALUE!,NA,NA,..C
MB 0728803,2001,#VALUE!,NA,NA,..C
MB 0728804,2001,#VALUE!,NA,NA,..C
MB 0728805,2001,#VALUE!,NA,NA,..C
MB 0728806,2001,#VALUE!,NA,NA,..C
MB 0728807,2001,0.75,NA,NA,18300
MB 0728808,2001,#VALUE!,NA,NA,..C
MB 0728809,2001,#VALUE!,NA,NA,..C
MB 0728810,2001,#VALUE!,NA,NA,..C
MB 0728811,2001,0.909090909,NA,NA,15800
MB 0728812,2001,#VALUE!,NA,NA,..C
MB 0728900,2001,#VALUE!,NA,NA,..C
MB 0729000,2001,0.56,NA,NA,22500
MB 0729100,2001,0.523809524,NA,NA,15800
MB 0729200,2001,0.516129032,NA,NA,13800
MB 0729300,2001,0.647058824,NA,NA,15200
MB 0729400,2001,0.461538462,NA,NA,11300
MB 0729500,2001,0.529411765,NA,NA,20300
MB 0729600,2001,0.523809524,NA,NA,18800
MB 0729700,2001,#VALUE!,NA,NA,..C
MB 0729800,2001,0.520833333,NA,NA,9300
MB 0729901,2001,0.586206897,NA,NA,17500
MB 0729902,2001,0.518518519,NA,NA,16700
MB 0729903,2001,0.48,NA,NA,14300
MB 0730001,2001,0.530612245,NA,NA,19200
MB 0730002,2001,0.5625,NA,NA,10800
MB 0730100,2001,0.627906977,NA,NA,13800
MB 0730200,2001,0.568181818,NA,NA,16900
MB 0730301,2001,0.55,NA,NA,20200
MB 0730302,2001,0.666666667,NA,NA,10800
MB 0730303,2001,0.5,NA,NA,10400
MB 0730401,2001,0.578947368,NA,NA,17500
MB 0730402,2001,0.625,NA,NA,12500
MB 0730403,2001,0.6,NA,NA,13300
MB 0730500,2001,0.694444444,NA,NA,12000
MB 0730601,2001,0.666666667,NA,NA,1300
MB 0730602,2001,0.647058824,NA,NA,12500
MB 0730701,2001,0.613636364,NA,NA,20200
MB 0730702,2001,0.696969697,NA,NA,20800
MB 0730704,2001,0.522727273,NA,NA,12000
MB 0730706,2001,0.666666667,NA,NA,17500
MB 0730707,2001,0.742857143,NA,NA,27500
MB 0730708,2001,0.545454545,NA,NA,22500
MB 0730709,2001,0.653846154,NA,NA,19200
MB 0730710,2001,0.7,NA,NA,22900
MB 0730711,2001,1,NA,NA,10800
MB 0730712,2001,0.6,NA,NA,2500
MB 0730713,2001,0.333333333,NA,NA,13800
MB 0730714,2001,#VALUE!,NA,NA,..C
MB 0730715,2001,0.2,NA,NA,13800
MB 0730716,2001,#VALUE!,NA,NA,..C
MB 0730717,2001,#VALUE!,NA,NA,..C
MB 0730718,2001,#VALUE!,NA,NA,..C
MB 0730719,2001,0.375,NA,NA,20800
MB 0730720,2001,#VALUE!,NA,NA,..C
MB 0730800,2001,0.604651163,NA,NA,8500
MB 0730900,2001,0.534883721,NA,NA,11900
MB 0731000,2001,0.4,NA,NA,10800
MB 0731103,2001,0.515151515,NA,NA,11300
MB 0731104,2001,0.549019608,NA,NA,14000
MB 0731105,2001,0.45,NA,NA,15300
MB 0731106,2001,0.513513514,NA,NA,15200
MB 0731200,2001,0.470588235,NA,NA,18800
MB 0731300,2001,0.705882353,NA,NA,18800
MB 0731400,2001,0.461538462,NA,NA,15400
MB 0731500,2001,0.594594595,NA,NA,17500
MB 0731600,2001,0.581395349,NA,NA,14200
MB 0731700,2001,0.52173913,NA,NA,11700
MB 0731800,2001,0.529411765,NA,NA,17500
MB 0731900,2001,0.533333333,NA,NA,11700
MB 0732001,2001,0.25,NA,NA,22500
MB 0732002,2001,0.666666667,NA,NA,12500
MB 0732100,2001,0.5,NA,NA,18800
MB 0732200,2001,0.52,NA,NA,15800
MB 0732300,2001,0.6,NA,NA,11300
MB 0732400,2001,0.634146341,NA,NA,12500
MB 0732500,2001,0.473684211,NA,NA,12500
MB 0732601,2001,0.52173913,NA,NA,10400
MB 0732602,2001,0.566666667,NA,NA,13500
MB 0732603,2001,0.473684211,NA,NA,9400
MB 0732700,2001,0.444444444,NA,NA,12500
MB 0732801,2001,0.5625,NA,NA,12500
MB 0732802,2001,0.56,NA,NA,13000
MB 0732901,2001,0.5,NA,NA,14200
MB 0732902,2001,0.619047619,NA,NA,16900
MB 0732903,2001,0.44,NA,NA,13100
MB 0733000,2001,0.517857143,NA,NA,12900
MB 0733100,2001,0.549019608,NA,NA,12200
MB 0733201,2001,0.65625,NA,NA,14600
MB 0733202,2001,0.523809524,NA,NA,10400
MB 0733300,2001,0.6,NA,NA,8800
MB 0733400,2001,0.541666667,NA,NA,13800
MB 0733501,2001,0.475,NA,NA,10400
MB 0733502,2001,0.448275862,NA,NA,8900
MB 0733600,2001,0.488372093,NA,NA,9400
MB 0733700,2001,0.56097561,NA,NA,11900
MB 0733800,2001,0.559322034,NA,NA,15800
MB 0733900,2001,0.44,NA,NA,10200
MB 0734005,2001,0.6,NA,NA,5800
MB 0734006,2001,0.5,NA,NA,12500
MB 0734007,2001,0.444444444,NA,NA,15500
MB 0734008,2001,0.55,NA,NA,17500
MB 0734009,2001,0.472222222,NA,NA,13300
MB 0734010,2001,0.483870968,NA,NA,12500
MB 0734101,2001,0.489361702,NA,NA,10800
MB 0734102,2001,0.528301887,NA,NA,14300
MB 0734201,2001,0.483870968,NA,NA,13800
MB 0734202,2001,0.555555556,NA,NA,12900
MB 0734300,2001,0.514285714,NA,NA,12000
MB 0734400,2001,0.638888889,NA,NA,9700
MB 0734501,2001,0.75,NA,NA,10600
MB 0734502,2001,0.536585366,NA,NA,17000
MB 0734601,2001,0.571428571,NA,NA,20800
MB 0734602,2001,0.52173913,NA,NA,20300
MB 0734603,2001,0.583333333,NA,NA,9400
MB 0734701,2001,0.692307692,NA,NA,11300
MB 0734702,2001,0.458333333,NA,NA,16300
MB 0734703,2001,0.529411765,NA,NA,17500
MB 0734800,2001,0.568181818,NA,NA,14700
MB 0734901,2001,0.534482759,NA,NA,12900
MB 0734902,2001,0.75,NA,NA,22500
MB 0735000,2001,0.666666667,NA,NA,17500
MB 0735100,2001,0.454545455,NA,NA,10400
MB 0735200,2001,0.581818182,NA,NA,14500
MB 0735300,2001,0.511111111,NA,NA,14200
MB 0735400,2001,0.378378378,NA,NA,14200
MB 0735500,2001,0.473684211,NA,NA,10300
MB 0735600,2001,0.5,NA,NA,10800
MB 0735700,2001,0.5,NA,NA,14500
MB 0735800,2001,0.65,NA,NA,9400
MB 0735900,2001,0.366666667,NA,NA,11400
MB 0736000,2001,0.619047619,NA,NA,20200
MB 0736101,2001,0.448275862,NA,NA,11300
MB 0736102,2001,0.526315789,NA,NA,17500
MB 0736200,2001,0.558823529,NA,NA,12500
MB 0736300,2001,0.681818182,NA,NA,10800
MB 0736400,2001,0.541666667,NA,NA,18800
MB 0736501,2001,0.5,NA,NA,8500
MB 0736502,2001,0.527777778,NA,NA,12500
MB 0736601,2001,0.592592593,NA,NA,10400
MB 0736602,2001,0.5,NA,NA,4400
MB 0736701,2001,0.583333333,NA,NA,13800
MB 0736702,2001,0.5,NA,NA,11700
MB 0736800,2001,0.511627907,NA,NA,17000
MB 0736900,2001,#VALUE!,NA,NA,..C
MB 0737000,2001,0.538461538,NA,NA,18300
MB 0737102,2001,0.43902439,NA,NA,12500
MB 0737103,2001,0.58490566,NA,NA,12900
MB 0737104,2001,0.55,NA,NA,25300
MB 0737105,2001,0.476190476,NA,NA,13300
MB 0737106,2001,0.566666667,NA,NA,14400
MB 0737200,2001,0.517241379,NA,NA,14200
MB 0737301,2001,0.466666667,NA,NA,8000
MB 0737302,2001,0.464285714,NA,NA,15600
MB 0737400,2001,0.533333333,NA,NA,17500
MB 0737500,2001,0.602941176,NA,NA,12100
MB 0737600,2001,0.530612245,NA,NA,10800
MB 0737700,2001,0.482758621,NA,NA,6700
MB 0737801,2001,0.5,NA,NA,13100
MB 0737802,2001,0.5,NA,NA,12500
MB 0737901,2001,0.636363636,NA,NA,10400
MB 0737902,2001,0.65,NA,NA,17500
MB 0738000,2001,0.652173913,NA,NA,10800
MB 0738101,2001,0.461538462,NA,NA,12500
MB 0738102,2001,0.428571429,NA,NA,17500
MB 0738200,2001,0.5,NA,NA,9500
MB 0738300,2001,0.592592593,NA,NA,13300
MB 0738401,2001,0.5,NA,NA,12500
MB 0738402,2001,0.375,NA,NA,18300
MB 0738500,2001,0.5,NA,NA,16900
MB 0738600,2001,0.536585366,NA,NA,20300
MB 0738700,2001,0.641025641,NA,NA,16900
MB 0738800,2001,0.7,NA,NA,20800
MB 0738901,2001,0.470588235,NA,NA,9400
MB 0738902,2001,0.571428571,NA,NA,10400
MB 0739000,2001,0.515151515,NA,NA,10800
MB 0739100,2001,0.513513514,NA,NA,10200
MB 0739200,2001,0.666666667,NA,NA,13800
MB 0739300,2001,0.533333333,NA,NA,12500
MB 0739400,2001,0.555555556,NA,NA,11900
MB 0739500,2001,0.45,NA,NA,12500
MB 0739600,2001,0.516129032,NA,NA,10800
MB 0739700,2001,0.5,NA,NA,12500
MB 0739801,2001,0.393939394,NA,NA,12900
MB 0739802,2001,0.580645161,NA,NA,13300
MB 0739901,2001,0.612903226,NA,NA,8500
MB 0739902,2001,0.53125,NA,NA,22000
MB 0740000,2001,0.535211268,NA,NA,13600
MB 0740100,2001,0.542372881,NA,NA,16300
MB 0740200,2001,0.509433962,NA,NA,15800
MB 0740300,2001,0.666666667,NA,NA,21300
MB 0740400,2001,0.678571429,NA,NA,12100
MB 0740500,2001,0.462962963,NA,NA,12500
MB 0740600,2001,0.486486486,NA,NA,15400
MB 0740700,2001,0.5625,NA,NA,15100
MB 0740800,2001,0.5,NA,NA,12500
MB 0740901,2001,0.380952381,NA,NA,21300
MB 0740902,2001,0.590909091,NA,NA,15800
MB 0740903,2001,0.666666667,NA,NA,5300
MB 0741001,2001,0.6,NA,NA,10800
MB 0741002,2001,0.35,NA,NA,9200
MB 0741003,2001,0.464285714,NA,NA,13300
MB 0741101,2001,0.5,NA,NA,9200
MB 0741102,2001,0.578947368,NA,NA,16300
MB 0741201,2001,0.571428571,NA,NA,12500
MB 0741202,2001,0.424242424,NA,NA,12100
MB 0741301,2001,0.523809524,NA,NA,5300
MB 0741302,2001,0.633333333,NA,NA,12500
MB 0741401,2001,0.588235294,NA,NA,21300
MB 0741402,2001,0.476190476,NA,NA,12500
MB 0741403,2001,0.555555556,NA,NA,11300
MB 0741500,2001,0.565217391,NA,NA,23800
MB 0741601,2001,0.4,NA,NA,17500
MB 0741602,2001,0.5625,NA,NA,26300
MB 0741700,2001,0.571428571,NA,NA,14400
MB 0741800,2001,0.5,NA,NA,16300
MB 0741900,2001,0.533333333,NA,NA,19200
MB 0742000,2001,0.542857143,NA,NA,14600
MB 0742101,2001,0.578947368,NA,NA,13300
MB 0742102,2001,0.525,NA,NA,13100
MB 0742201,2001,0.390243902,NA,NA,12500
MB 0742202,2001,0.551724138,NA,NA,12500
MB 0742300,2001,0.580645161,NA,NA,19200
MB 0742400,2001,0.583333333,NA,NA,21300
MB 0742500,2001,0.555555556,NA,NA,11500
MB 0742600,2001,0.555555556,NA,NA,9200
MB 0742700,2001,0.612903226,NA,NA,10800
MB 0742800,2001,0.481481481,NA,NA,10200
MB 0742900,2001,0.5625,NA,NA,21300
MB 0743000,2001,0.451612903,NA,NA,10400
MB 0743100,2001,0.527777778,NA,NA,16900
MB 0743200,2001,0.549019608,NA,NA,14100
MB 0743300,2001,0.448275862,NA,NA,14400
MB 0743400,2001,0.6,NA,NA,12500
MB 0743500,2001,0.568627451,NA,NA,17000
MB 0743600,2001,0.563636364,NA,NA,13900
MB 0743700,2001,0.473684211,NA,NA,20800
MB 0743800,2001,0.5,NA,NA,12500
MB 0743900,2001,0.555555556,NA,NA,15400
MB 0744000,2001,0.5,NA,NA,12500
MB 0744100,2001,0.533333333,NA,NA,10800
MB 0744200,2001,0.433333333,NA,NA,11000
MB 0744300,2001,0.722222222,NA,NA,8100
MB 0744400,2001,0.380952381,NA,NA,9500
MB 0744500,2001,0.4,NA,NA,17500
MB 0744600,2001,0.576923077,NA,NA,12500
MB 0744700,2001,0.722222222,NA,NA,13800
MB 0744800,2001,0.375,NA,NA,14400
MB 0744900,2001,0.633333333,NA,NA,18100
MB 0745000,2001,0.628571429,NA,NA,17500
MB 0745100,2001,0.52173913,NA,NA,15300
MB 0745200,2001,0.588235294,NA,NA,16300
MB 0745300,2001,0.6,NA,NA,13800
MB 0745400,2001,0.416666667,NA,NA,14000
MB 0745500,2001,0.590909091,NA,NA,18800
MB 0745600,2001,0.615384615,NA,NA,17500
MB 0745700,2001,0.368421053,NA,NA,11300
MB 0745800,2001,0.527777778,NA,NA,12500
MB 0745900,2001,0.65625,NA,NA,15400
MB 0746000,2001,0.541666667,NA,NA,14200
MB 0746100,2001,0.604651163,NA,NA,17500
MB 0746200,2001,0.526315789,NA,NA,15200
MB 0746301,2001,0.586206897,NA,NA,18500
MB 0746308,2001,0.541666667,NA,NA,15100
MB 0746309,2001,0.580645161,NA,NA,15100
MB 0746310,2001,0.578947368,NA,NA,13600
MB 0746311,2001,0.619047619,NA,NA,21300
MB 0746312,2001,0.627906977,NA,NA,21300
MB 0746313,2001,0.614035088,NA,NA,23800
MB 0746314,2001,0.625,NA,NA,18300
MB 0746315,2001,0.538461538,NA,NA,21700
MB 0746316,2001,0.595238095,NA,NA,20400
MB 0746317,2001,0.476190476,NA,NA,13800
MB 0746318,2001,0.555555556,NA,NA,15400
MB 0746319,2001,0.52173913,NA,NA,21700
MB 0746320,2001,0.592592593,NA,NA,16300
MB 0746321,2001,0.46875,NA,NA,12500
MB 0746322,2001,0.533333333,NA,NA,13800
MB 0746400,2001,#VALUE!,NA,NA,..C
MB 0746500,2001,0.676470588,NA,NA,20300
MB 0746601,2001,0.666666667,NA,NA,22500
MB 0746602,2001,0.5,NA,NA,12600
MB 0746700,2001,0.583333333,NA,NA,13800
MB 0746800,2001,0.4,NA,NA,17500
MB 0746900,2001,0.652173913,NA,NA,15400
MB 0747000,2001,0.454545455,NA,NA,20400
MB 0747100,2001,0.64516129,NA,NA,21700
MB 0747200,2001,0.641025641,NA,NA,15400
MB 0747300,2001,0.620689655,NA,NA,16300
MB 0747401,2001,0.588235294,NA,NA,8600
MB 0747402,2001,#VALUE!,NA,NA,..C
MB 0747500,2001,0.566666667,NA,NA,20800
MB 0747601,2001,0.684210526,NA,NA,16300
MB 0747602,2001,0.333333333,NA,NA,18300
MB 0747700,2001,0.571428571,NA,NA,11300
MB 0747801,2001,0.6,NA,NA,21300
MB 0747802,2001,0.666666667,NA,NA,17500
MB 0747803,2001,0.545454545,NA,NA,15800
MB 0747804,2001,0.538461538,NA,NA,23300
MB 0747900,2001,0.65,NA,NA,20400
MB 0748000,2001,0.543478261,NA,NA,19500
MB 0748100,2001,0.458333333,NA,NA,17500
MB 0748200,2001,0.695652174,NA,NA,15800
MB 0748301,2001,0.7,NA,NA,17900
MB 0748302,2001,0.6,NA,NA,18300
MB 0748400,2001,0.576923077,NA,NA,16700
MB 0748500,2001,0.6,NA,NA,15800
MB 0748600,2001,0.515151515,NA,NA,17500
MB 0748700,2001,0.611111111,NA,NA,15400
MB 0748800,2001,0.523809524,NA,NA,18100
MB 0748900,2001,0.585365854,NA,NA,15800
MB 0749001,2001,1,NA,NA,15800
MB 0749002,2001,0.604651163,NA,NA,20200
MB 0749100,2001,0.722222222,NA,NA,21300
MB 0749200,2001,0.538461538,NA,NA,12500
MB 0749300,2001,#VALUE!,NA,NA,..C
MB 0749400,2001,#VALUE!,NA,NA,..C
MB 0749500,2001,#VALUE!,NA,NA,..C
MB 0749600,2001,#VALUE!,NA,NA,..C
MB 0749700,2001,#VALUE!,NA,NA,..C
MB 0749800,2001,#VALUE!,NA,NA,..C
MB 0749900,2001,#VALUE!,NA,NA,..C
MB 0750000,2001,0.510638298,NA,NA,4200
MB 0750100,2001,#VALUE!,NA,NA,..C
MB 0750200,2001,0.5,NA,NA,13300
MB 0750300,2001,0.551020408,NA,NA,20600
MB 0750400,2001,0.527777778,NA,NA,15500
MB 0750500,2001,0.535714286,NA,NA,21300
MB 0750600,2001,0.627906977,NA,NA,22500
MB 0750700,2001,0.548387097,NA,NA,14800
MB 0750800,2001,0.527272727,NA,NA,14300
MB 0750900,2001,0.457142857,NA,NA,17500
MB 0751000,2001,0.6,NA,NA,15300
MB 0751100,2001,0.523809524,NA,NA,18800
MB 0751200,2001,0.585365854,NA,NA,17500
MB 0751300,2001,0.421052632,NA,NA,15400
MB 0751400,2001,0.555555556,NA,NA,17500
MB 0751500,2001,0.592592593,NA,NA,15400
MB 0751600,2001,#VALUE!,NA,NA,..C
MB 0751700,2001,#VALUE!,NA,NA,..C
MB 0751800,2001,0.433333333,NA,NA,20500
MB 0751900,2001,0.382352941,NA,NA,15200
MB 0752000,2001,0.403846154,NA,NA,15100
MB 0752100,2001,0.483870968,NA,NA,20300
MB 0752201,2001,0.8,NA,NA,27500
MB 0752202,2001,0.583333333,NA,NA,22500
MB 0752300,2001,0.482758621,NA,NA,13800
MB 0752400,2001,0.58974359,NA,NA,19200
MB 0752500,2001,0.619047619,NA,NA,25800
MB 0752601,2001,0.625,NA,NA,15800
MB 0752602,2001,0.5,NA,NA,17500
MB 0752700,2001,0.741935484,NA,NA,12900
MB 0752801,2001,0.428571429,NA,NA,10800
MB 0752802,2001,0.4375,NA,NA,15800
MB 0752900,2001,0.513513514,NA,NA,17500
MB 0753000,2001,0.555555556,NA,NA,13300
MB 0753100,2001,0.565217391,NA,NA,15800
MB 0753201,2001,0.571428571,NA,NA,23300
MB 0753202,2001,0.413793103,NA,NA,16300
MB 0753302,2001,0.571428571,NA,NA,18300
MB 0753303,2001,0.5,NA,NA,14200
MB 0753304,2001,0.636363636,NA,NA,31700
MB 0753401,2001,0.620689655,NA,NA,18800
MB 0753402,2001,0.8,NA,NA,41700
MB 0753500,2001,0.555555556,NA,NA,13800
MB 0753600,2001,0.530612245,NA,NA,19000
MB 0753700,2001,0.580645161,NA,NA,13000
MB 0753800,2001,0.518518519,NA,NA,12100
MB 0753900,2001,0.444444444,NA,NA,16300
MB 0754000,2001,#VALUE!,NA,NA,..C
MB 0754100,2001,0.5625,NA,NA,11700
MB 0754200,2001,0.594594595,NA,NA,20400
MB 0754300,2001,0.611111111,NA,NA,23300
MB 0754400,2001,0.727272727,NA,NA,20400
MB 0754500,2001,0.709677419,NA,NA,21300
MB 0754600,2001,0.709677419,NA,NA,19500
MB 0754700,2001,0.85,NA,NA,27500
MB 0754800,2001,0.7,NA,NA,15800
MB 0754900,2001,0.666666667,NA,NA,27500
MB 0755000,2001,0.666666667,NA,NA,17500
MB 0755100,2001,0.742857143,NA,NA,25400
MB 0755200,2001,0.714285714,NA,NA,19200
MB 0755300,2001,0.675675676,NA,NA,18100
MB 0755400,2001,0.666666667,NA,NA,31000
MB 0755500,2001,0.627906977,NA,NA,26300
MB 0755600,2001,0.666666667,NA,NA,28100
